,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_core
SAL IM,2014-06-17,2014-06-25,2014-06-17,2014-06-25,SAL IM,Salini Impregilo SpA,762.974,138.74,3.7,"ADDL,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",0.0,-0.5405418277,-0.5405418277,2326.6616,1.8472583840517254,"['Intesa Sanpaolo', 'BNP Paribas', 'Equita SIM SpA', 'Goldman Sachs', 'Mediobanca', 'Natixis', 'UniCredit']",3.6433,3.7960000000000003,-0.025289778714436273,-0.015324324324324401,True
FPM LN,2014-06-12,2014-06-18,2014-06-12,2014-06-18,FPM LN,Faroe Petroleum PLC,109.291,54.17,120.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",543.479,5.833333492,3.541666746,543.479,1.2897935950347115,"['Stifel', 'Panmure Gordon', 'Pareto Securities', 'RBC Capital Markets']",126.0569,127.0,-0.055118110236220486,0.0504741666666666,False
MERL LN,2014-06-12,2014-06-13,2014-06-12,2014-06-13,MERL LN,Merlin Entertainments PLC,615.356,100.0,366.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",6293.14,-2.049180269,-2.049180269,6293.14,2.0289406306996405,"['Deutsche Bank', 'Morgan Stanley']",360.4113,366.8,-0.0021810250817885235,-0.015269672131147605,True
MONI LN,2014-06-10,2014-06-11,2014-06-10,2014-06-11,MONI LN,Monitise Ltd,53.7784,49.0,65.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Sub Sector Flag",2029.82,-1.526717544,-2.290076256,2029.82,23.370951201874,['Credit Suisse'],65.3566,67.5,-0.029629629629629672,-0.0021893129770992337,False
KGX GR,2014-06-10,2014-06-10,2014-06-10,2014-06-10,KGX GR,KION Group AG,332.216,7.5,32.7,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,1.070334077,-1.192662835,4435.0749,2.065072569555483,['Goldman Sachs'],33.7119,33.105,-0.012233801540552647,0.03094495412844034,True
BKIR ID,2014-06-09,2014-06-10,2014-06-09,2014-06-10,BKIR ID,Bank of Ireland,645.827,1793.82,0.265,"ADDL,Secondary Share Offering,Block",11617.4,3.773590565,0.3773639202,11617.4,25.419283448242872,['Deutsche Bank'],0.2746,0.284,-0.06690140845070414,0.03622641509433966,False
GFJ GR,2014-06-09,2014-06-10,2014-06-09,2014-06-10,GFJ GR,GAGFAH SA,1013.68,60.4635,12.34,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",3610.61,1.985412002,3.079415321,3610.61,7.938126072950852,['Deutsche Bank'],12.4899,12.055,0.0236416424720034,0.012147487844408555,False
CIE SM,2014-06-05,2014-06-10,2014-06-05,2014-06-10,CIE SM,CIE Automotive SA,127.162,10.1799,9.16,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,3.493451595,5.895198345,1545.0027,1.5928364243619015,"['JB Capital Markets', 'Societe Generale']",9.5314,9.535,-0.03932878867330891,0.0405458515283843,False
REP SM,2014-06-03,2014-06-04,2014-06-03,2014-06-04,REP SM,Repsol SA,2851.41,104.057,20.1,"ADDL,Secondary Share Offering,Block,Government Exit",36227.9,0.2487543225,0.1990030706,36227.9,319.46384043692467,"['Citi', 'Deutsche Bank']",20.0849,20.865,-0.03666427030913,-0.0007512437810945904,False
ETL FP,2014-06-02,2014-06-03,2014-06-02,2014-06-03,ETL FP,Eutelsat Communications SA,374.061,11.0279,24.95,"ADDL,Secondary Share Offering,Accelerated Bookbuild",7486.55,-0.6212455034,-0.9218466878,7486.55,13.156192856778445,"['Barclays', 'UBS']",24.877299999999998,25.725,-0.030126336248785357,-0.0029138276553106746,True
