,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV
TRHC US,2017-12-04,2017-12-06,2017-12-04,2017-12-05,2017-12-06,TRHC US,Tabula Rasa HealthCare Inc,94.875,3.0,27.5,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild",527.502,3.563636303,0.03636363521,"Citi, Piper Jaffray & Co, Robert W Baird & Co, William Blair & Co LLC",527.502,3.6166696843444446
PFGC US,2017-12-04,2017-12-05,2017-12-04,2017-12-05,2017-12-05,PFGC US,Performance Food Group Co,188.187,6.2729,30.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",3139.14,-0.3333333433,1.5,Barclays,3139.14,22.436803591222215
BL US,2017-12-04,2017-12-05,2017-12-04,2017-12-04,2017-12-05,BL US,Blackline Inc,154.8,4.5,34.4,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Block,Emerging Growth Company",1817.8,-1.337213635,-1.162795067,JP Morgan,1817.8,7.915133351233333
LLNW US,2017-11-29,2017-12-01,2017-11-29,2017-11-30,2017-12-01,LLNW US,Limelight Networks Inc,69.0,15.0,4.6,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild",504.335,0.8695673347,7.826089382,B Riley & Co,504.335,5.571911814400002
UVSP US,2017-11-29,2017-11-30,2017-11-29,2017-11-30,2017-11-30,UVSP US,Univest Financial Corp,64.975,2.3,28.25,"ADDL,Primary Share Offering,Accelerated Bookbuild",818.809,-0.1769911498,0.0,Stifel,818.809,2.3315991372222222
USFD US,2017-11-29,2017-11-30,2017-11-29,2017-11-29,2017-11-30,USFD US,US Foods Holding Corp,1130.74,39.9555,28.3,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Block",6358.81,2.332158327,2.897529364,Morgan Stanley,6358.81,63.75530395016666
STNG US,2017-11-28,2017-11-29,2017-11-28,2017-11-29,2017-11-29,STNG US,Scorpio Tankers Inc,90.0,30.0,3.0,"ADDL,Primary Share Offering",933.287,9.0,3.333333254,"Clarksons Platou Securities, BTIG LLC, Pareto Securities",933.287,9.407002983424023
TDOC US,2017-11-28,2017-11-30,2017-11-28,2017-11-29,2017-11-30,TDOC US,Teladoc Health Inc,172.431,4.284,35.0,"ADDL,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild,Emerging Growth Company",2140.11,0.2857142985,6.0,"JP Morgan, Jefferies, US Bancorp",2140.11,32.16909576877778
IBTX US,2017-11-28,2017-11-29,2017-11-28,2017-11-29,2017-11-29,IBTX US,Independent Bank Group Inc,150.304,2.1355,64.0,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild,Emerging Growth Company",1808.36,8.671875,7.65625,Stephens Inc,1808.36,8.362132855999997
ATO US,2017-11-28,2017-11-29,2017-11-28,2017-11-28,2017-11-29,ATO US,Atmos Energy Corp,400.0,4.5584,87.75,"ADDL,Primary Share Offering,Accelerated Bookbuild,Block",9724.45,1.994302034,3.145299196,"JP Morgan, Bank of America Merrill Lynch",9724.45,31.993826165322222
GTN US,2017-11-27,2017-11-30,2017-11-27,2017-11-29,2017-11-30,GTN US,Gray Television Inc,250.125,15.0,14.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",1207.18,1.724137902,-0.6896551847,Wells Fargo,1207.18,13.14976405086667
VNTR US,2017-11-27,2017-11-30,2017-11-27,2017-11-29,2017-11-30,VNTR US,Venator Materials PLC,533.56,21.7648,22.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2391.37,-0.2222222239,-2.222222328,"SunTrust Robinson Humphrey, RBC Capital Markets, UBS, Deutsche Bank, Barclays, JP Morgan, Bank of America Merrill Lynch, Goldman Sachs, Citi",2391.37,14.301594201999997
MEDP US,2017-11-27,2017-12-01,2017-11-27,2017-11-30,2017-12-01,MEDP US,Medpace Holdings Inc,144.9,4.0,31.5,"ADDL,Secondary Share Offering,Emerging Growth Company",1116.04,5.079365253,3.047619104,"Jefferies, Credit Suisse",1116.04,4.009172777488889
SGH US,2017-11-27,2017-11-30,2017-11-27,2017-11-29,2017-11-30,SGH US,SMART Global Holdings Inc,109.247,3.2611,33.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Emerging Growth Company",725.814,-2.597014904,-10.47761154,"Barclays, Deutsche Bank, Jefferies, Stifel",725.814,8.962255269266668
IQV US,2017-11-27,2017-11-28,2017-11-27,2017-11-27,2017-11-28,IQV US,IQVIA Holdings Inc,1022.5,10.0,102.25,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",21606.9,0.0,-0.5085574389,Morgan Stanley,21606.9,146.71630351973334
PFGC US,2017-11-20,2017-11-21,2017-11-20,2017-11-21,2017-11-21,PFGC US,Performance Food Group Co,141.25,5.0,28.25,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",2956.02,0.8849557638,0.0,Barclays,2956.02,16.702701530833334
BKI US,2017-11-20,2017-11-21,2017-11-20,2017-11-20,2017-11-21,BKI US,Black Knight Inc,227.5,5.0,45.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Block",6983.07,1.758241773,1.538461566,Goldman Sachs,6983.07,42.202247918000005
MCRN US,2017-11-16,2017-11-17,2017-11-16,2017-11-16,2017-11-17,MCRN US,Milacron Holdings Corp,214.676,13.09,16.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",0.0,2.012197495,2.134148836,Credit Suisse,1166.1941,11.147654420799993
ADSW US,2017-11-16,2017-11-17,2017-11-16,2017-11-16,2017-11-17,ADSW US,Advanced Disposal Services Inc,153.606,6.7519,22.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",2013.17,1.098901153,0.3516483605,Credit Suisse,2013.17,7.02771832511111
TLND US,2017-11-15,2017-11-16,2017-11-15,2017-11-16,2017-11-16,TLND US,Talend SA,110.688,2.75,40.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,Emerging Growth Company",1173.0,-0.3478260934,3.925465822,"Barclays, Citi",1173.0,6.011238410711114
NCLH US,2017-11-15,2017-11-16,2017-11-15,2017-11-15,2017-11-16,NCLH US,Norwegian Cruise Line Holdings,543.5,10.0,54.35,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",12417.0,-0.9199604392,-0.6991692185,Morgan Stanley,12417.0,204.70898733270002
PSDO US,2017-11-14,2017-11-17,2017-11-14,2017-11-16,2017-11-17,PSDO US,Presidio Inc,131.1,8.0,14.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1306.34,5.052631378,4.982456207,"Wells Fargo, Evercore Partners Inc, Deutsche Bank, Credit Suisse, Goldman Sachs, Barclays, RBC Capital Markets, Citi, JP Morgan",1306.34,2.0270790209444445
