,,,,Date,Market cap,Volume,Supersector,Sector,Revision_real,Revision_20,mom,mom_short,30d_vol
1440013D US,26/Feb/2010,06/May/2010,31/Mar/2010,26/Feb/2010,936.944,5.230861913,Industrial Goods & Services,Electronic & Electrical Equipment,-0.07999999999999996,-0.06799999999999995,1.0319148936170213,0.9278350515463918,0.014616555531623613
1440013D US,06/May/2010,06/Aug/2010,30/Jun/2010,06/May/2010,909.1954,4.232372778,Industrial Goods & Services,Electronic & Electrical Equipment,-0.07188160676532762,-0.07399577167019034,0.9073593073593074,0.8864503816793892,0.010216667881440643
1440013D US,06/Aug/2010,08/Nov/2010,30/Sep/2010,06/Aug/2010,837.8086,6.06807147,Industrial Goods & Services,Electronic & Electrical Equipment,-0.008948545861297674,0.006711409395973256,0.7915162454873645,1.1003420752565565,0.020711087697925262
1448062D US,18/Feb/2010,06/May/2010,31/Mar/2010,18/Feb/2010,31538.0305,261.3621091,Media,Media,0.004366812227074135,0.012663755458515169,1.5512104283054005,0.9891956782713085,0.015946665015890274
1448062D US,06/May/2010,05/Aug/2010,30/Jun/2010,06/May/2010,31911.802000000003,254.63020600000002,Media,Media,0.008731808731808899,0.1085239085239087,1.4016161616161615,1.0072066878062842,0.013615783322667597
1448062D US,05/Aug/2010,04/Nov/2010,30/Sep/2010,05/Aug/2010,34415.2519,276.6261923,Media,Media,0.0056878777106290634,0.037326697476004256,1.3624949372215471,1.1533888228299642,0.017275374952828007
1448062D US,04/Nov/2010,23/Feb/2011,31/Dec/2010,04/Nov/2010,36916.4708,189.416901,Media,Media,0.003981420039814276,0.019907100199070937,1.459601259181532,1.0206086748142824,0.0046531649371858025
1464150D US,01/Mar/2010,11/May/2010,31/Mar/2010,01/Mar/2010,1656.1158,12.05316901,Oil & Gas,Oil & Gas Producers,-0.018957345971563955,-0.21327014218009477,1.9323790720631784,1.0904214559386973,0.018783196255315025
1464150D US,11/May/2010,,30/Jun/2010,11/May/2010,1273.7688,54.37897935,Oil & Gas,Oil & Gas Producers,0.023124647490129657,0.04737732656514382,1.2080814508431434,0.8899130892810113,0.026811018926755838
1468826D US,11/May/2010,03/Nov/2010,30/Jun/2010,11/May/2010,614.4797,3.4645334310000004,Financial Services,Financial Services,0.008522727272727071,0.04924242424242409,2.8784313725490196,1.012942779291553,0.038244477577816946
