Ticker,Date,Revision,Market cap,Volume
1942 JP,2017-10-31,-0.013007437,2013.516,5.455867956
1944 JP,2017-11-01,-0.004423875,3665.1079,6.79531074
1951 JP,2017-11-07,0.040617651,2591.3765,11.12243853
1958 HK,2017-08-29,-0.097013547,6950.2111,13.09798608
1959 JP,2017-10-30,0.011872153,2852.6796,7.819763465
1963 JP,2017-11-09,0.000936472,4709.6372,24.08475249
1972 HK,2017-08-17,0.044389122,20004.2824,5.689454958
1979 JP,2017-11-13,0.030700261,1115.244,3.561913116
1983 JP,2017-10-31,-0.034225809,1676.867,5.436343079
1988 HK,2017-10-30,-0.000427384,43041.7881,72.41118966
1999 HK,2017-11-15,-0.083468845,3637.0313,12.22944706
2 HK,2017-10-26,0.001170503,25810.8406,18.99383029
20 HK,2017-08-14,-0.026350388,16590.5738,6.541101338
200 HK,2017-08-31,0.003085636,3590.5476,11.930838
2002 JP,2017-10-27,-0.001576091,5399.9844,12.39371395
2002 TT,2017-11-13,0.004915531,12851.7006,6.447685002
2007 HK,2017-08-22,0.05748058,26503.6534,42.53230646
2009 HK,2017-10-30,-0.003118449,8726.4135,17.43485244
2018 HK,2017-11-10,0.034346884,26529.1298,74.46831276
2020 HK,2017-08-15,0.069280028,9965.8621,15.68436932
204320 KS,2017-10-30,-0.124048403,2591.6687,13.63135521
2049 TT,2017-11-06,0.105934013,2762.3624,28.47650229
2105 TT,2017-11-10,-0.245222412,6302.663,4.57349046
2121 JP,2017-11-09,0,4015.3644,17.14125968
2127 JP,2017-10-31,0.003506244,3972.334,22.36804453
2128 HK,2017-08-21,-0.001217793,2081.681,3.045958805
214370 KS,2017-11-29,2.33E-05,830.2655,9.238338217
2146 JP,2017-11-10,-0.004709498,809.8956,7.225482928
215 HK,2017-07-26,-0.05881104,1839.132,6.784508811
2157 JP,2017-10-12,0.19166273,603.0477,3.305951771
2170 JP,2017-11-15,0.000685069,791.6056,6.514600074
2175 JP,2017-10-30,-0.018561654,1411.2741,7.257902734
2181 JP,2017-11-14,-0.059476659,5886.7444,32.33059143
2186 HK,2017-08-28,-0.065023373,1842.3996,4.145812966
2193 JP,2017-11-10,-0.068071087,717.7483,4.1771166
2196 HK,2017-10-30,0.007344104,14476.4216,9.778999092
2201 JP,2017-11-10,-0.024246143,3135.5388,14.33952663
2202 HK,2017-10-26,0.026460852,44991.803,42.6075833
2206 JP,2017-11-01,-0.075734622,3841.618,13.57207571
2208 HK,2017-10-27,-0.047400275,7333.763,6.011728536
2212 JP,2017-10-30,-0.009846034,4172.5802,11.76978785
2222 JP,2017-11-02,-0.00306027,1274.4197,4.396402283
2229 JP,2017-10-31,-0.021470254,4927.4656,17.39560034
2238 HK,2017-10-27,0.070095269,24083.709,46.19590876
226320 KS,2017-11-14,-0.476137964,896.7999,4.382946977
2264 JP,2017-11-10,0,1965.4942,7.309465802
2267 JP,2017-11-10,-0.004292376,14351.794,24.03999992
2269 HK,2017-08-22,-0.04741784,5535.5744,6.93540437
2269 JP,2017-11-09,0.011398766,12520.0925,32.83845776
2270 JP,2017-11-09,-0.008565114,1946.926,6.27840732
2281 JP,2017-11-01,0,1667.589,9.069873252
2282 HK,2017-11-09,-0.034587548,9231.6019,15.12011737
2282 JP,2017-11-02,-0.055481249,6134.3534,23.99452663
23 HK,2017-08-25,0.24158716,12067.0627,4.778375619
2301 TT,2017-10-31,-0.18635916,3365.4097,11.06509303
2303 TT,2017-10-19,0.071226335,6662.8465,32.2177035
2308 TT,2017-11-01,-0.048341961,12495.6467,26.53000811
2311 TT,2017-10-30,-0.035643768,10838.9341,24.51930318
2313 TT,2017-11-08,0.195586126,1685.0122,21.27917087
2314 HK,2017-08-21,0.096208764,4750.8336,9.97829521
2317 TT,2017-11-15,-0.066232433,60939.7603,112.9046958
2318 HK,2017-10-27,0.047897138,169787.9554,325.3147537
2319 HK,2017-08-30,0.043492977,8698.7835,25.31849731
2324 TT,2017-11-10,-0.079288611,3258.0429,7.875736186
2327 TT,2017-10-26,0.224218044,2753.6724,17.66252548
2328 HK,2017-08-28,0.013496771,29613.7941,49.70404763
