,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
MVC SM,2018-01-08,2018-02-06,2018-01-08,2018-02-06,MVC SM,Metrovacesa SA,773.362,39.1304,16.5,"IPO,Secondary Share Offering,Best Efforts,PE Backed,REG S,Rule 144A",3120.55,-7.272727489,-3.030303001,"Banco Bilbao Vizcaya Argentaria, Banco Santander, Deutsche Bank, Morgan Stanley, Goldman Sachs, Societe Generale",Common,3120.55
NIBC NA,2018-02-26,2018-03-23,2018-02-26,2018-03-23,NIBC NA,NIBC Holding NV,393.918,38.1675,8.75,"IPO,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1575.03,-5.142857075,-2.880000114,"ABN Amro Bank NV, Citi, Deutsche Bank, ING Groep, Morgan Stanley",Common,1575.03
PETS LN,2014-02-19,2014-03-12,2014-02-19,2014-03-12,PETS LN,Pets at Home Group Plc,819.476,0.0,245.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2034.85,0.0,-2.8571429249999998,"Kohlberg Kravis Roberts & Co, Bank of America Merrill Lynch, Goldman Sachs",Common,2034.85
FORT LN,2016-03-29,2016-04-21,2016-03-29,2016-04-21,FORT LN,Forterra PLC,184.459,70.0,180.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",515.88,0.0,-2.777777672,"Citi, Credit Suisse, Deutsche Bank",Common,515.88
TIFS LN,2017-10-09,2017-10-25,2017-10-09,2017-10-25,TIFS LN,TI Fluid Systems PLC,534.598,0.0,255.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1754.57,-1.960784316,-2.745098114,"Citi, Deutsche Bank, Goldman Sachs, JP Morgan",Common,1754.57
ADJ GR,2015-06-04,2015-07-23,2015-06-04,2015-07-23,ADJ GR,ADO Properties SA,515.297,21.0,20.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",763.21,0.5,-2.5,"Barclays, Commerzbank, Kempen & Co NV, UBS",Common,763.21
GMD LN,2014-05-19,2014-06-06,2014-05-19,2014-06-06,GMD LN,GAME Digital PLC,203.155,60.409,200.0,"IPO,Primary Share Offering,Secondary Share Offering",571.336,2.5,-2.5,"Canaccord Genuity, HSBC, Liberum Capital Ltd",Common,571.336
NDX SS,2015-06-04,2015-06-17,2015-06-04,2015-06-17,NDX SS,Nordax Group AB,313.858,48.6823,45.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",610.521,1.111111164,-2.444444418,"Carnegie, Citi, Morgan Stanley",Common,610.521
RFRG NA,2015-03-03,2015-03-27,2015-03-03,2015-03-27,RFRG NA,Refresco Group BV,631.111,44.4164,14.5,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1278.86,0.9655172229,-2.413793087,"ABN Amro Bank NV, Credit Suisse, HSBC, JP Morgan",Common,1278.86
ODL NO,2013-09-13,2013-09-27,2013-09-13,2013-09-27,ODL NO,Odfjell Drilling Ltd,396.28,56.0,42.0,"IPO,Secondary Share Offering",1399.18,0.9523809552,-2.380952358,"ABG Sundal Collier Asa, DNB ASA, Goldman Sachs",Common,1399.18
