,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
PSK CN,2015-06-15,2015-06-15,2015-06-15,2015-06-15,PSK CN,PrairieSky Royalty Ltd,160.884,5.76,31.25,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",3952.76,-3.039999962,-4.032000065,3952.76,19.76941815766245,CIBC
THO CN,2015-06-15,2015-06-15,2015-06-15,2015-06-15,THO CN,Tahoe Resources Inc,811.318,58.0517,17.2,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Bought Deal",0.0,-10.81395721,-11.62791061,3365.3686,12.29745429843486,"BMO Capital Markets, GMP Securities"
KEL CN,2015-06-15,2015-06-15,2015-06-15,2015-06-15,KEL CN,Kelt Exploration Ltd,70.2924,8.5,8.85,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",1200.19,-5.19774437,-7.118648052,1200.19,6.6666898422646055,Peters & Co Ltd
TOU CN,2015-06-01,2015-06-01,2015-06-01,2015-06-01,TOU CN,Tourmaline Oil Corp,153.817,4.25,39.5,"ADDL,Primary Share Offering,Bought Deal",6582.96,-2.556962013,-0.9367088675,6582.96,22.850588718962495,Peters & Co Ltd
CPG CN,2015-05-26,2015-05-26,2015-05-26,2015-05-26,CPG CN,Crescent Point Energy Corp,530.979,21.06,28.5,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-2.0,-4.456140518,10811.5267,61.784392648792625,"BMO Capital Markets, Scotiabank"
FM CN,2015-05-20,2015-05-21,2015-05-20,2015-05-21,FM CN,First Quantum Minerals Ltd,1177.8,76.923,16.25,"ADDL,Primary Share Offering",9178.31,7.323076725,6.400000095,9178.31,71.31551734535138,"Goldman Sachs, RBC Capital Markets"
AOI CN,2015-05-01,2015-05-01,2015-05-01,2015-05-01,AOI CN,Africa Oil Corp,99.7948,52.6234,2.31,"ADDL,Primary Share Offering,Best Efforts,Private Placement",0.0,15.15151787,11.25541401,801.4749,1.1870229179862732,
BAM/A CN,2015-04-20,2015-04-20,2015-04-20,2015-04-20,BAM/A CN,Brookfield Asset Management In,1150.18,17.86,56.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.6155691147,-0.9272120595,36459.373,66.14117423952919,"Citi, Deutsche Bank, RBC Capital Markets, CIBC"
PXT CN,2015-04-15,2015-04-15,2015-04-15,2015-04-15,PXT CN,Parex Resources Inc,110.646,13.0,9.15,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",1107.51,4.153009892,7.650277615,1107.51,5.024101996253342,Scotiabank
FRU CN,2015-04-14,2015-04-14,2015-04-14,2015-04-14,FRU CN,Freehold Royalties Ltd,298.319,18.0,18.0,"ADDL,Primary Share Offering,Bought Deal",1412.19,-1.833333373,-1.777777791,1412.19,4.181837717285811,"CIBC, RBC Capital Markets"
HBC CN,2015-04-08,2015-04-08,2015-04-08,2015-04-08,HBC CN,Hudson's Bay Co,290.626,11.6,27.25,"ADDL,Secondary Share Offering,Bought Deal,REG S,Rule 144A",3967.24,-2.42201829,-3.669724703,3967.24,22.846527677094844,"BMO Capital Markets, RBC Capital Markets"
NVA CN,2015-04-07,2015-04-07,2015-04-07,2015-04-07,NVA CN,NuVista Energy Ltd,72.0694,11.465,7.85,"ADDL,Primary Share Offering,Bought Deal",0.0,12.35668945,13.88535213,910.8216,2.9114843861514292,"Peters & Co Ltd, RBC Capital Markets"
PEY CN,2015-03-25,2015-03-25,2015-03-25,2015-03-25,PEY CN,Peyto Exploration & Developmen,137.848,4.38,34.25,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",4343.93,6.56934309,8.233576775,4343.93,16.798827248283562,BMO Capital Markets
CPX CN,2015-03-25,2015-03-25,2015-03-25,2015-03-25,CPX CN,Capital Power Corp,180.09,9.0,23.85,"ADDL,Secondary Share Offering,Bought Deal,Government Exit,REG S,Rule 144A",1598.47,1.048216462,2.431864262,1598.47,8.800572113284453,"CIBC, TD Securities"
BTE CN,2015-03-11,2015-03-11,2015-03-11,2015-03-11,BTE CN,Baytex Energy Corp,495.142,31.7,17.35,"ADDL,Primary Share Offering,Bought Deal,REG S",2713.83,19.13544464,23.45820999,2713.83,51.67564958750285,"RBC Capital Markets, Scotiabank"
ECA CN,2015-03-04,2015-03-04,2015-03-04,2015-03-04,ECA CN,Encana Corp,1156.76,85.6165,14.6,"ADDL,Primary Share Offering,Bought Deal",9864.65,2.123285055,0.1369836777,9864.65,69.88727862740843,"Scotiabank, Credit Suisse, RBC Capital Markets"
SES CN,2015-03-04,2015-03-04,2015-03-04,2015-03-04,SES CN,Secure Energy Services Inc,159.331,12.2867,14.65,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",1575.63,5.802050591,7.508535385,1575.63,8.329328462958426,"GMP Securities, Raymond James & Associates"
WPM CN,2015-03-02,2015-03-02,2015-03-02,2015-03-02,WPM CN,Wheaton Precious Metals Corp,800.011,38.93,20.55,"ADDL,Primary Share Offering,Bought Deal",0.0,-9.070142746,-7.714715004,7738.3306,41.519608556263975,Scotiabank
