,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
AOI CN,2012-11-28,2012-11-28,2012-11-28,2012-11-28,AOI CN,Africa Oil Corp,234.257,30.0,7.75,"ADDL,Primary Share Offering,Best Efforts,Private Placement",0.0,-8.25806427,-9.419354439,1812.5849,6.355551511651375,
EMA CN,2012-11-26,2012-11-26,2012-11-26,2012-11-26,EMA CN,Emera Inc,202.627,5.135,34.1,"ADDL,Primary Share Offering,Bought Deal",0.0,4.47471848e-06,0.586514771,4239.8902,9.343105418846175,"CIBC, RBC Capital Markets, Scotiabank, TD Securities"
DGC CN,2012-11-20,2012-11-20,2012-11-20,2012-11-20,DGC CN,Detour Gold Corp,114.201,4.0,26.5,"ADDL,Primary Share Offering,Bought Deal",3121.04,-11.05660343,-9.056603432,3121.04,15.564161238050945,BMO Capital Markets
PEY CN,2012-11-20,2012-11-20,2012-11-20,2012-11-20,PEY CN,Peyto Exploration & Developmen,115.28,4.025,24.85,"ADDL,Primary Share Offering,Bought Deal",3698.84,-3.420524597,-2.857144356,3698.84,12.751063159280523,BMO Capital Markets
NKO CN,2012-11-19,2012-11-19,2012-11-19,2012-11-19,NKO CN,Niko Resources Ltd,108.173,12.0,8.5,"ADDL,Primary Share Offering,Bought Deal",598.596,-0.2352941185,0.5882353187,598.596,9.678722292197923,RBC Capital Markets
RR CN,2012-11-19,2012-11-19,2012-11-19,2012-11-19,RR CN,Rainy River Resources Ltd,57.6755,10.455,5.5,"ADDL,Primary Share Offering,Bought Deal",548.295,-11.81818199,-9.454545021,548.295,4.021938405590931,"BMO Capital Markets, National Bank Financial Inc"
1287366D CN,2012-11-12,2012-11-12,2012-11-12,2012-11-12,1287366D CN,CGL Buritica Ltd,86.357,7.86,9.55,"ADDL,Primary Share Offering,Bought Deal",1201.78,-5.654452324,-9.738222122,1201.78,8.794330648032792,Eight Capital
EFN CN,2012-11-09,2012-11-09,2012-11-09,2012-11-09,EFN CN,Element Fleet Management Corp,110.186,19.5,5.65,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,8.849555969,8.849555969,500.6305,2.0211767326651424,"Barclays, BMO Capital Markets, GMP Securities"
CPG CN,2012-11-01,2012-11-01,2012-11-01,2012-11-01,CPG CN,Crescent Point Energy Corp,802.327,18.75,40.0,"ADDL,Primary Share Offering,Bought Deal",14898.8,-2.775000095,-2.549999952,14898.8,124.85511878055965,"RBC Capital Markets, BMO Capital Markets"
POU CN,2012-09-10,2012-09-10,2012-09-10,2012-09-10,POU CN,Paramount Resources Ltd,61.4666,1.936,31.0,"ADDL,Primary Share Offering",2849.63,1.645161271,2.709677458,2849.63,3.548281420953463,BMO Capital Markets
STP CN,2012-09-10,2012-09-10,2012-09-10,2012-09-10,STP CN,Southern Pacific Resource Corp,82.6058,51.725,1.45,"ADDL,Primary Share Offering,Bought Deal",583.664,-3.448279142,-0.689658463,583.664,1.4347367915707732,"RBC Capital Markets, BMO Capital Markets"
TA CN,2012-09-04,2012-09-04,2012-09-04,2012-09-04,TA CN,TransAlta Corp,308.105,19.25,14.3,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.2797216177,3.566432238,3423.2215,18.106315707142414,"RBC Capital Markets, CIBC"
BNS CN,2012-08-29,2012-08-29,2012-08-29,2012-08-29,BNS CN,Bank of Nova Scotia/The,1755.8,29.0,52.0,"ADDL,Primary Share Offering,Bought Deal",0.0,1.346153855,1.692307711,60399.0589,171.73238244645427,Scotiabank
SAP CN,2012-08-28,2012-08-28,2012-08-28,2012-08-28,SAP CN,Saputo Inc,130.973,3.1,41.7,"ADDL,Secondary Share Offering,Bought Deal",0.0,-2.877699614,-2.086332798,8675.8481,15.969972485561428,"BMO Capital Markets, National Bank Financial Inc"
BNP CN,2012-08-28,2012-08-28,2012-08-28,2012-08-28,BNP CN,Bonavista Energy Corp,349.894,18.2,16.5,"ADDL,Primary Share Offering,Bought Deal",2764.28,0.0,1.575757623,2764.28,12.707153897342735,"CIBC, TD Securities"
CPG CN,2012-08-09,2012-08-09,2012-08-09,2012-08-09,CPG CN,Crescent Point Energy Corp,637.792,13.42,41.0,"ADDL,Primary Share Offering,Bought Deal",14260.5,-1.756097555,-0.02439024299,14260.5,47.20314600084422,"CIBC, BMO Capital Markets"
TOU CN,2012-08-08,2012-08-08,2012-08-08,2012-08-08,TOU CN,Tourmaline Oil Corp,134.165,4.0,29.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-5.724137783,-4.896551609,4563.8028,17.151249971987728,Peters & Co Ltd
ARX CN,2012-08-01,2012-08-01,2012-08-01,2012-08-01,ARX CN,ARC Resources Ltd,344.519,12.685,23.65,"ADDL,Primary Share Offering,Bought Deal",7229.22,-1.564480424,-1.437630534,7229.22,31.665585684676177,RBC Capital Markets
ATD/B CN,2012-07-24,2012-07-24,2012-07-24,2012-07-24,ATD/B CN,Alimentation Couche-Tard Inc,337.88,6.35,47.25,"ADDL,Primary Share Offering,Bought Deal",0.0,5.248677254,7.830688,8367.7132,23.236412781762926,"HSBC, Scotiabank, UBS, National Bank Financial Inc"
SES CN,2012-07-24,2012-07-24,2012-07-24,2012-07-24,SES CN,Secure Energy Services Inc,84.459,9.5541,7.85,"ADDL,Primary Share Offering,Bought Deal",0.0,10.19108391,9.936306953,739.1906,1.1825827076021314,"GMP Securities, Raymond James & Associates"
BDI CN,2012-07-05,2012-07-05,2012-07-05,2012-07-05,BDI CN,Black Diamond Group Ltd,60.0833,2.5,22.15,"ADDL,Primary Share Offering,Bought Deal",890.541,-0.6320524812,2.483071804,890.541,4.734154448566331,Raymond James & Associates
LB CN,2012-06-06,2012-06-06,2012-06-06,2012-06-06,LB CN,Laurentian Bank of Canada,116.675,2.8674,41.85,"ADDL,Primary Share Offering,Best Efforts,Private Placement,QIP",0.0,13.69176006,13.62007618,1039.71,3.034250998581281,"Fonds De Solidarite, Caisse des Depot et Placement du Quebec"
ENB CN,2012-05-31,2012-05-31,2012-05-31,2012-05-31,ENB CN,Enbridge Inc,387.395,9.83,40.71,"ADDL,Secondary Share Offering,Bought Deal",0.0,-4.175876141,-3.267008305,30998.5409,86.75915321483025,TD Securities
CSU CN,2012-05-18,2012-05-18,2012-05-18,2012-05-18,CSU CN,Constellation Software Inc/Can,87.7335,0.9948,90.0,"ADDL,Secondary Share Offering,Best Efforts,VC Backed,VC Exit,Private Placement,QIP",0.0,-2.211111069,-3.200000048,1806.5821,2.7795615024314464,RBC Capital Markets
1480640D CN,2012-05-14,2012-05-16,2012-05-14,2012-05-16,1480640D CN,Aurora Oil & Gas Pty Ltd,63.7916,18.0,3.55,"ADDL,Primary Share Offering",1569.72,-7.605632782,-8.732393265,1569.72,3.4321644046513042,TD Securities
ATP CN,2012-05-08,2012-06-28,2012-05-08,2012-06-28,ATP CN,Atlantic Power Corp,72.9011,5.5672,13.1,"ADDL,Primary Share Offering",1510.49,3.053432226,3.740454912,1510.49,3.350303111504274,Morgan Stanley
PVG CN,2012-05-02,2012-05-03,2012-05-02,2012-05-03,PVG CN,Pretium Resources Inc,81.6011,4.83,14.5,"ADDL,Primary Share Offering,Bought Deal",0.0,-7.86206913,-6.896551609,1364.2563,10.417357591115499,"Cormark Securities Inc, GMP Securities, Scotiabank"
BIR CN,2012-03-29,2012-03-29,2012-03-29,2012-03-29,BIR CN,Birchcliff Energy Ltd,61.8728,8.075,7.65,"ADDL,Primary Share Offering,Bought Deal",1083.37,-22.74509811,-23.26797485,1083.37,7.3775775138102295,"Cormark Securities Inc, National Bank Financial Inc, GMP Securities"
CPX CN,2012-03-27,2012-03-27,2012-03-27,2012-03-27,CPX CN,Capital Power Corp,231.754,8.5,23.55,"ADDL,Secondary Share Offering,Bought Deal,Government Exit",0.0,-0.5520137548,-0.8492537141,1453.1637,4.01007146024403,"BMO Capital Markets, TD Securities"
CSU CN,2012-03-13,2012-03-13,2012-03-13,2012-03-13,CSU CN,Constellation Software Inc/Can,174.284,1.715,87.5,"ADDL,Secondary Share Offering,VC Backed,VC Exit,Bought Deal",1698.3,1.417142868,1.748571396,1698.3,6.1880040160920355,"BMO Capital Markets, RBC Capital Markets"
GEI CN,2012-03-07,2012-03-07,2012-03-07,2012-03-07,GEI CN,Gibson Energy Inc,582.18,28.1078,20.7,"ADDL,Secondary Share Offering,PE Exit,Bought Deal",0.0,-0.4347862899,1.497580767,2090.6708,7.547080585251795,"Scotiabank, BMO Capital Markets"
PRY CN,2012-02-24,2012-02-24,2012-02-24,2012-02-24,PRY CN,Pinecrest Energy Inc,60.2093,18.5,3.25,"ADDL,Primary Share Offering,Bought Deal",696.886,-5.538461685,-4.923077106,696.886,5.1351564160974315,Canaccord Genuity
KEY CN,2012-02-21,2012-02-21,2012-02-21,2012-02-21,KEY CN,Keyera Corp,203.641,4.1,43.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-1.860465169,-1.813953519,3177.2991,15.305313448317817,RBC Capital Markets
CPG CN,2012-02-16,2012-02-16,2012-02-16,2012-02-16,CPG CN,Crescent Point Energy Corp,606.155,11.61,45.25,"ADDL,Primary Share Offering,Bought Deal",14142.3,0.6629834175,1.127071857,14142.3,46.884589688391145,"CIBC, BMO Capital Markets"
FRU CN,2012-02-09,2012-02-09,2012-02-09,2012-02-09,FRU CN,Freehold Royalties Ltd,71.1233,3.0,20.5,"ADDL,Primary Share Offering,Bought Deal",1326.13,0.09756097198,-0.146341458,1326.13,2.680596721254392,CIBC
RMX CN,2012-02-06,2012-02-06,2012-02-06,2012-02-06,RMX CN,Rubicon Minerals Corp,201.768,49.0,4.1,"ADDL,Primary Share Offering,Bought Deal",1182.52,-11.70731544,-12.43902206,1182.52,3.3518021811900693,"TD Securities, GMP Securities"
PG CN,2012-02-06,2012-02-06,2012-02-06,2012-02-06,PG CN,Premier Gold Mines Ltd,57.7483,9.0,5.75,"ADDL,Primary Share Offering,Bought Deal",761.796,-0.1739130467,0.5217391253,761.796,2.620813306866976,RBC Capital Markets
GRO CN,2012-02-03,2012-02-03,2012-02-03,2012-02-03,GRO CN,GrowMax Resources Corp,60.4469,14.3,3.5,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,23.4285717,22.857143399999998,703.0314,3.6700352798097162,"Cormark Securities Inc, TD Securities"
BNS CN,2012-02-01,2012-02-01,2012-02-01,2012-02-01,BNS CN,Bank of Nova Scotia/The,1662.07,30.0,50.25,"ADDL,Primary Share Offering,Bought Deal",0.0,4.019900322,4.099502563,55599.4341,175.8512544053241,Scotiabank
NG CN,2012-02-01,2012-02-01,2012-02-01,2012-02-01,NG CN,Novagold Resources Inc,332.5,35.0,9.5,"ADDL,Primary Share Offering,Bought Deal",0.0,-6.150919437,-10.80109882,2491.9249,6.6176588657406334,"JP Morgan, RBC Capital Markets"
DGC CN,2012-01-25,2012-01-25,2012-01-25,2012-01-25,DGC CN,Detour Gold Corp,274.804,8.6,28.0,"ADDL,Primary Share Offering,Bought Deal",3090.92,-4.035714149,-2.8928570750000002,3090.92,18.028084380600074,"CIBC, BMO Capital Markets"
PSN CN,2012-01-19,2012-01-19,2012-01-19,2012-01-19,PSN CN,Poseidon Concepts Corp,81.6536,5.77,13.0,"ADDL,Primary Share Offering,Bought Deal",1042.92,17.07692337,17.46153831,1042.92,10.450580485850724,National Bank Financial Inc
ERF CN,2012-01-17,2012-01-17,2012-01-17,2012-01-17,ERF CN,Enerplus Corp,340.286,12.79,23.45,"ADDL,Primary Share Offering,Bought Deal",4473.73,1.705753565,0.2985042036,4473.73,19.926790442274445,"BMO Capital Markets, RBC Capital Markets"
LB CN,2012-01-13,2012-01-13,2012-01-13,2012-01-13,LB CN,Laurentian Bank of Canada,61.5017,1.262,47.55,"ADDL,Primary Share Offering,Bought Deal",0.0,-2.544688225,-0.3785473108,1104.59,3.6969540404569594,"BMO Capital Markets, CIBC"
TET CN,2011-12-08,2011-12-08,2011-12-08,2011-12-08,TET CN,Paramount Resources TEC Ltd,185.475,5.0,37.9,"ADDL,Secondary Share Offering,Bought Deal",3339.2,-1.820584416,-2.796837568,3339.2,11.643485227351755,RBC Capital Markets
PEY CN,2011-11-28,2011-11-28,2011-11-28,2011-11-28,PEY CN,Peyto Exploration & Developmen,111.234,4.26,23.5,"ADDL,Primary Share Offering,Bought Deal",3117.91,7.446808338,6.893617153,3117.91,11.080090866942658,BMO Capital Markets
FNV CN,2011-11-22,2011-11-22,2011-11-22,2011-11-22,FNV CN,Franco-Nevada Corp,377.522,8.0,42.5,"ADDL,Primary Share Offering,Bought Deal",0.0,1.176470637,1.223529458,5514.3915,28.531118409336372,BMO Capital Markets
GEI CN,2011-11-22,2011-11-22,2011-11-22,2011-11-22,GEI CN,Gibson Energy Inc,281.694,15.0,19.45,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal",0.0,-2.005145311,-2.365042448,1879.2281,7.3297754667106805,"BMO Capital Markets, CIBC"
VET CN,2011-11-08,2011-11-08,2011-11-08,2011-11-08,VET CN,Vermilion Energy Inc,259.984,5.105,49.0,"ADDL,Primary Share Offering,Bought Deal",4649.95,-9.448979378,-5.591836929,4649.95,12.638527994863848,"BMO Capital Markets, CIBC"
PGF CN,2011-11-07,2011-11-07,2011-11-07,2011-11-07,PGF CN,Pengrowth Energy Corp,295.128,28.31,10.6,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.8490601778,-2.075475216,3421.5963,14.034845892392191,BMO Capital Markets
ALA CN,2011-11-02,2011-11-02,2011-11-02,2011-11-02,ALA CN,AltaGas Ltd,141.543,4.27,29.3,"ADDL,Primary Share Offering,Bought Deal",0.0,1.331060648,0.9556340575,2469.4359,8.038000008273002,"RBC Capital Markets, TD Securities"
CPX CN,2011-11-02,2011-11-02,2011-11-02,2011-11-02,CPX CN,Capital Power Corp,220.836,8.2,24.4,"ADDL,Secondary Share Offering,Bought Deal,Government Exit",0.0,-0.4098345041,-0.6967197657,1223.4749,4.247496079873552,"CIBC, RBC Capital Markets"
POU CN,2011-10-25,2011-10-25,2011-10-25,2011-10-25,POU CN,Paramount Resources Ltd,154.155,4.5,34.75,"ADDL,Primary Share Offering,Bought Deal",2915.29,9.352518082,10.67625904,2915.29,4.488468684606339,BMO Capital Markets
PONY CN,2011-10-24,2011-10-24,2011-10-24,2011-10-24,PONY CN,Painted Pony Energy Ltd,103.468,8.0,11.8,"ADDL,Primary Share Offering,Bought Deal",794.031,5.508472919,7.62711668,794.031,2.179481248401804,Cormark Securities Inc
GEI CN,2011-10-18,2011-10-18,2011-10-18,2011-10-18,GEI CN,Gibson Energy Inc,285.096,14.0,18.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Private Placement,Bought Deal,QIP",0.0,4.111111164,4.055555344,1714.8048,5.771351771386479,BMO Capital Markets
PRU CN,2011-10-12,2011-10-12,2011-10-12,2011-10-12,PRU CN,Perseus Mining Ltd,92.0657,25.0,3.25,"ADDL,Primary Share Offering,Bought Deal",1446.53,2.461538553,4.307692528,1446.53,4.158645810365957,"CIBC, Clarus Securities, Eight Capital"
AQN CN,2011-10-06,2011-10-06,2011-10-06,2011-10-06,AQN CN,Algonquin Power & Utilities Co,91.4155,15.1,5.65,"ADDL,Primary Share Offering,Bought Deal",737.378,-0.8849574327,-0.8849574327,737.378,1.907882784507469,"BMO Capital Markets, Scotiabank"
POU CN,2011-09-28,2011-09-28,2011-09-28,2011-09-28,POU CN,Paramount Resources Ltd,57.4159,1.45,40.5,"ADDL,Primary Share Offering",3191.59,-17.75308609,-14.79012299,3191.59,4.619155917513729,BMO Capital Markets
1457122D CN,2011-09-27,2011-09-27,2011-09-27,2011-09-27,1457122D CN,Romarco Minerals Inc,90.8489,70.0,1.15,"ADDL,Primary Share Offering,Bought Deal",678.44,-8.695650101,-10.43478107,678.44,3.0383988525288337,"BMO Capital Markets, National Bank Financial Inc"
TOU CN,2011-09-20,2011-09-20,2011-09-20,2011-09-20,TOU CN,Tourmaline Oil Corp,152.916,4.0,33.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.06060606241,0.3030303121,5253.3357,20.036919996000634,Peters & Co Ltd
SGY CN,2011-09-20,2011-09-20,2011-09-20,2011-09-20,SGY CN,Surge Energy Inc,60.4451,6.897,8.7,"ADDL,Primary Share Offering,Bought Deal",552.12,-9.195400238,-10.9195385,552.12,2.3800593686365428,National Bank Financial Inc
CLT CN,2011-09-19,2011-09-19,2011-09-19,2011-09-19,CLT CN,Celtic Exploration Ltd,174.067,6.0,25.0,"ADDL,Primary Share Offering,Bought Deal",2615.24,-8.479999542,-9.471500397,2615.24,16.586134117709747,GMP Securities
9944556D CN,2011-09-12,2011-09-12,2011-09-12,2011-09-12,9944556D CN,Industrial Alliance Insurance,200.703,6.0,33.31,"ADDL,Primary Share Offering,Private Placement,QIP",0.0,-3.662567854,-4.56319809,2726.9839,9.777557678485701,Caisse des Depot et Placement du Quebec
TD CN,2011-09-07,2011-09-07,2011-09-07,2011-09-07,TD CN,Toronto-Dominion Bank/The,805.589,8.0,76.5,"ADDL,Primary Share Offering,Bought Deal",0.0,-4.575163364,-3.85620904,69987.0936,327.1317026413581,TD Securities
CPG CN,2011-08-31,2011-08-31,2011-08-31,2011-08-31,CPG CN,Crescent Point Energy Corp,419.639,8.625,43.5,"ADDL,Primary Share Offering,Bought Deal",12551.5,-10.34482765,-10.16091919,12551.5,50.08036744933033,"BMO Capital Markets, CIBC"
AVR CN,2011-08-11,2011-08-11,2011-08-11,2011-08-11,AVR CN,Avion Gold Corp,58.3196,24.2,2.07,"ADDL,Primary Share Offering,Bought Deal",918.131,7.72947216,13.04348183,918.131,12.061255941099118,National Bank Financial Inc
BNP CN,2011-07-28,2011-07-28,2011-07-28,2011-07-28,BNP CN,Bonavista Energy Corp,210.59,7.0,28.55,"ADDL,Primary Share Offering,Bought Deal",4296.13,-10.6830101,-12.39929676,4296.13,11.976402262215169,TD Securities
DGC CN,2011-07-14,2011-07-14,2011-07-14,2011-07-14,DGC CN,Detour Gold Corp,445.429,12.5,29.75,"ADDL,Primary Share Offering,Bought Deal",2994.21,0.5042017102,-5.882352829,2994.21,26.33760572226251,"BMO Capital Markets, TD Securities"
CPX CN,2011-06-29,2011-06-29,2011-06-29,2011-06-29,CPX CN,Capital Power Corp,237.866,8.0,25.1,"ADDL,Primary Share Offering,Bought Deal",0.0,0.1195203885,-0.03984215483,1082.4763,8.303232763294524,"TD Securities, RBC Capital Markets"
HSE CN,2011-06-22,2011-06-22,2011-06-22,2011-06-22,HSE CN,Husky Energy Inc,1028.7,36.9685,27.05,"ADDL,Primary Share Offering,Bought Deal",0.0,-2.957483292,-2.883546352,25971.6013,42.00543916209939,"Goldman Sachs, HSBC, JP Morgan, RBC Capital Markets"
FTS CN,2011-05-30,2011-05-30,2011-05-30,2011-05-30,FTS CN,Fortis Inc/Canada,349.432,9.1,33.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-5.0,-3.121212006,5922.8404,22.935958007535213,"RBC Capital Markets, Scotiabank"
PKI CN,2011-05-12,2011-05-12,2011-05-12,2011-05-12,PKI CN,Parkland Fuel Corp,89.5134,6.2,12.1,"ADDL,Primary Share Offering,Bought Deal",0.0,3.636360407,3.22313714,697.3305,1.535313524633322,"Scotiabank, RBC Capital Markets"
TOU CN,2011-04-25,2011-04-25,2011-04-25,2011-04-25,TOU CN,Tourmaline Oil Corp,168.905,5.5,25.5,"ADDL,Primary Share Offering,Bought Deal",0.0,8.235294342,9.372549057,3856.3165,8.70973521025947,Peters & Co Ltd
BXE CN,2011-04-20,2011-04-20,2011-04-20,2011-04-20,BXE CN,Bellatrix Exploration Ltd,57.6312,9.822,5.6,"ADDL,Primary Share Offering,Bought Deal",629.862,-9.821427345,-11.24999809,629.862,5.189209360759026,"Canaccord Genuity, National Bank Financial Inc"
SNM CN,2011-04-19,2011-04-19,2011-04-19,2011-04-19,SNM CN,ShaMaran Petroleum Corp,52.6591,56.0,0.9,"ADDL,Primary Share Offering,Best Efforts,Private Placement",0.0,-2.222219706,-13.33333111,573.0656,2.856887983006049,
POU CN,2011-04-12,2011-04-12,2011-04-12,2011-04-12,POU CN,Paramount Resources Ltd,50.7284,1.5,32.5,"ADDL,Primary Share Offering",2598.43,-6.800000191,-7.446153641,2598.43,5.814765800124058,Peters & Co Ltd
LIM CN,2011-04-05,2011-04-05,2011-04-05,2011-04-05,LIM CN,Labrador Iron Mines Holdings L,115.488,8.0,12.5,"ADDL,Primary Share Offering",697.592,7.199999809,4.71999979,697.592,3.2293590468560476,Canaccord Genuity
CLT CN,2011-03-11,2011-03-11,2011-03-11,2011-03-11,CLT CN,Celtic Exploration Ltd,119.841,5.0,20.3,"ADDL,Primary Share Offering",2010.17,2.216752529,3.743846178,2010.17,23.033074914830795,GMP Securities
CPX CN,2011-03-08,2011-03-08,2011-03-08,2011-03-08,CPX CN,Capital Power Corp,238.724,8.1,24.9,"ADDL,Primary Share Offering",0.0,-0.08031975478,1.532006991e-06,818.9266,4.469252669793833,"CIBC, TD Securities"
EMA CN,2011-02-24,2011-02-24,2011-02-24,2011-02-24,EMA CN,Emera Inc,204.832,5.53,31.7,"ADDL,Primary Share Offering",0.0,-2.807573318,-2.113567114,3722.2386,10.613064671909397,"CIBC, RBC Capital Markets, Scotiabank, TD Securities"
DML CN,2011-02-23,2011-02-23,2011-02-23,2011-02-23,DML CN,Denison Mines Corp,65.4559,18.3,3.55,"ADDL,Primary Share Offering",1375.87,-32.11267471,-35.77464676,1375.87,19.313136884603278,"Cormark Securities Inc, GMP Securities, Scotiabank"
WSX CN,2011-02-16,2011-02-16,2011-02-16,2011-02-16,WSX CN,Wild Stream Exploration Inc,84.7226,7.0,10.85,"ADDL,Primary Share Offering",590.305,-3.225809813,-1.566823721,590.305,2.388127919983417,Peters & Co Ltd
NVA CN,2011-02-15,2011-02-15,2011-02-15,2011-02-15,NVA CN,NuVista Energy Ltd,67.2736,7.0,9.5,"ADDL,Primary Share Offering,Private Placement,QIP",955.003,-1.157894731,-3.789473772,955.003,6.470834356460671,TD Securities
1374430D CN,2011-02-14,2011-02-14,2011-02-14,2011-02-14,1374430D CN,Petronas Energy Canada Ltd,202.591,14.4,13.9,"ADDL,Primary Share Offering",3232.98,-7.913666725,-6.834529877,3232.98,16.288263137914576,"BMO Capital Markets, Scotiabank"
1413620D CN,2011-02-08,2011-02-08,2011-02-08,2011-02-08,1413620D CN,Osisko Mining Corp /Old,535.138,38.6,13.75,"ADDL,Secondary Share Offering,Block,Private Placement,QIP",0.0,0.8727272749,0.8000000119,5292.6396,42.03504969608971,"Canaccord Genuity, UBS"
SBB CN,2011-02-08,2011-02-08,2011-02-08,2011-02-08,SBB CN,Sabina Gold & Silver Corp,57.976,9.091,5.5,"ADDL,Primary Share Offering",891.238,20.54545403,16.0,891.238,2.547430630753727,BMO Capital Markets
CR CN,2011-02-07,2011-02-07,2011-02-07,2011-02-07,CR CN,Crew Energy Inc,101.097,4.82,20.75,"ADDL,Primary Share Offering",1789.06,-8.192770958,-7.469879627,1789.06,17.54509601631903,Macquarie
GBG CN,2011-02-02,2011-02-02,2011-02-02,2011-02-02,GBG CN,Great Basin Gold Ltd,87.183,29.415,2.55,"ADDL,Primary Share Offering",1047.69,4.313727379,-0.7843118906,1047.69,8.355291201510836,RBC Capital Markets
NML CN,2011-02-02,2011-02-02,2011-02-02,2011-02-02,NML CN,New Millennium Iron Corp,63.9276,15.7143,3.5,"ADDL,Primary Share Offering",587.629,14.28571415,13.71428585,587.629,4.220071953233269,"Credit Suisse, Jennings Capital Inc"
LEG CN,2011-02-01,2011-02-01,2011-02-01,2011-02-01,LEG CN,Legacy Oil + Gas Inc,141.213,8.35,14.95,"ADDL,Primary Share Offering",2147.62,7.959867477,7.023412704,2147.62,8.949316883705567,"GMP Securities, Macquarie"
PONY CN,2011-01-28,2011-01-28,2011-01-28,2011-01-28,PONY CN,Painted Pony Energy Ltd,80.1142,7.62,10.5,"ADDL,Primary Share Offering",616.051,2.380952358,4.190476418,616.051,4.700407996403379,"Cormark Securities Inc, GMP Securities"
BAM/A CN,2011-01-26,2011-01-26,2011-01-26,2011-01-26,BAM/A CN,Brookfield Asset Management In,580.026,15.3,32.85,"ADDL,Primary Share Offering",0.0,-2.435307503,-3.500756502,19403.3316,32.51456394084789,"CIBC, RBC Capital Markets, Scotiabank, TD Securities"
CNE CN,2011-01-26,2011-01-26,2011-01-26,2011-01-26,CNE CN,Canacol Energy Ltd,57.8104,36.3,1.38,"ADDL,Primary Share Offering",596.909,14.49275398,5.072463989,596.909,3.967996502545152,"Canaccord Genuity, Cormark Securities Inc"
FGE CN,2011-01-20,2011-01-20,2011-01-20,2011-01-20,FGE CN,Fortress Global Enterprises In,57.6608,0.967,51.75,"ADDL,Primary Share Offering",689.961,9.178744316,11.594203,689.961,1.8380168346563046,Raymond James & Associates
QTRH CN,2011-01-18,2011-01-18,2011-01-18,2011-01-18,QTRH CN,Quarterhill Inc,75.7704,11.4,6.6,"ADDL,Primary Share Offering",805.488,-2.424241066,-3.484847069,805.488,7.5678608178906,CIBC
AKG CN,2011-01-18,2011-01-18,2011-01-18,2011-01-18,AKG CN,Asanko Gold Inc,214.54,24.7,7.5,"ADDL,Primary Share Offering",587.956,0.0,-1.333333373,587.956,1.7703596318450048,"Canaccord Genuity, Clarus Securities"
TGL CN,2011-01-10,2011-01-10,2011-01-10,2011-01-10,TGL CN,TransGlobe Energy Corp,75.4527,5.0,15.0,"ADDL,Primary Share Offering",1085.27,-11.0,-12.26666641,1085.27,12.39624134158949,Macquarie
RR CN,2010-12-14,2010-12-14,2010-12-14,2010-12-14,RR CN,Rainy River Resources Ltd,74.6636,5.14,12.65,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,-7.667981625,-4.347823143,1012.7905,7.899487635888533,Scotiabank
MFL CN,2010-12-13,2010-12-13,2010-12-13,2010-12-13,MFL CN,Minefinders Corp Ltd,150.537,13.65,11.1,"ADDL,Primary Share Offering,Bought Deal",0.0,-1.441444874,-1.891895294,767.9898,4.494388683435513,"BMO Capital Markets, Scotiabank"
SVM CN,2010-12-06,2010-12-06,2010-12-06,2010-12-06,SVM CN,Silvercorp Metals Inc,116.84,8.0,12.7,"ADDL,Primary Share Offering,Bought Deal",0.0,-1.667845011,-1.667845011,2160.5218,15.248516177482824,"BMO Capital Markets, CIBC"
THO CN,2010-12-06,2010-12-06,2010-12-06,2010-12-06,THO CN,Tahoe Resources Inc,349.972,21.7041,14.1,"ADDL,Primary Share Offering,Bought Deal",1975.24,1.063827038,1.063827038,1975.24,2.296578522773846,GMP Securities
AC CN,2010-12-03,2010-12-03,2010-12-03,2010-12-03,AC CN,Air Canada,161.893,44.0,3.7,"ADDL,Secondary Share Offering,Bought Deal",1023.42,-2.9729743,-4.594595909,1023.42,11.624844586455668,"Canaccord Genuity, RBC Capital Markets, TD Securities"
CPX CN,2010-12-02,2010-12-02,2010-12-02,2010-12-02,CPX CN,Capital Power Corp,199.1,8.334,24.0,"ADDL,Secondary Share Offering,Bought Deal,Government Exit",0.0,-0.6666666865,-0.2083333284,534.533,1.078211434266996,"RBC Capital Markets, TD Securities"
HSE CN,2010-11-29,2010-11-30,2010-11-29,2010-11-30,HSE CN,Husky Energy Inc,693.759,28.9,24.5,"ADDL,Primary Share Offering,Best Efforts,Private Placement,QIP",0.0,1.020408154,1.061224461,20460.3754,43.66210145222105,"CIBC, RBC Capital Markets"
