,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
SE US,2017-09-22,2017-10-20,2017-09-22,2017-10-19,2017-10-20,SE US,Sea Ltd,989.318,58.96,15.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",5010.5,8.333333015,8.399999619,"Credit Suisse, Morgan Stanley, Goldman Sachs",ADR,5010.5
EPEG US,2013-09-04,2014-01-17,2013-09-04,2014-01-16,2014-01-17,EPEG US,EP Energy Corp,704.0,35.2,20.0,"IPO,Primary Share Offering",4877.5,-0.5,-9.600000381,"JP Morgan, Credit Suisse, Citi, Goldman Sachs, Morgan Stanley, Deutsche Bank, UBS, Wells Fargo, RBC Capital Markets, BMO Capital Markets",Class A,4877.5
LK US,2019-04-22,2019-05-17,2019-04-22,2019-05-16,2019-05-17,LK US,Luckin Coffee Inc,645.15,33.0,17.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",0.0,47.05882263,19.88235283,"Credit Suisse, Morgan Stanley, China International Capital Corp, Haitong Securities",ADR,4796.99577332
SWI US,2018-09-21,2018-10-19,2018-09-21,2018-10-18,2018-10-19,SWI US,SolarWinds Corp,375.0,25.0,15.0,"IPO,Primary Share Offering,PE Backed,PE Exit,Emerging Growth Company",4649.13,2.0,0.200000003,"Evercore Partners Inc, RBC Capital Markets, Nomura, Macquarie, Jefferies, Barclays, Citi, Bank of America Merrill Lynch, Credit Suisse, Goldman Sachs, Morgan Stanley, JP Morgan",Common,4649.13
CQH US,2013-09-20,2013-12-13,2013-09-20,2013-12-12,2013-12-13,CQH US,Cheniere Energy Partners LP Ho,720.0,36.0,20.0,"IPO,Primary Share Offering,Emerging Growth Company",4634.0,-2.0,-3.900000095,"RBC Capital Markets, Credit Suisse, Goldman Sachs, Morgan Stanley",Common,4634.0
ARMK US,2013-09-09,2013-12-12,2013-09-09,2013-12-11,2013-12-12,ARMK US,Aramark,833.75,36.25,20.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",4596.74,1.25,13.5,"JP Morgan, Goldman Sachs, Wells Fargo, RBC Capital Markets, Barclays, Bank of America Merrill Lynch, Morgan Stanley, Credit Suisse",Common,4596.74
MDLA US,2019-06-21,2019-07-19,2019-06-21,2019-07-18,2019-07-19,MDLA US,Medallia Inc,374.325,15.5,21.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",0.0,61.90476227,76.42857361,"Bank of America Merrill Lynch, Citi, Wells Fargo, Credit Suisse",Common,4565.4483107999995
ZAYO US,2014-07-02,2014-10-17,2014-07-02,2014-10-16,2014-10-17,ZAYO US,Zayo Group Holdings Inc,457.501,21.0526,19.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit",4541.15,13.21052647,15.78947353,"SunTrust Robinson Humphrey, Citi, RBC Capital Markets, Goldman Sachs, Morgan Stanley, Barclays",Common,4541.15
EAF US,2018-03-20,2018-04-19,2018-03-20,2018-04-18,2018-04-19,EAF US,GrafTech International Ltd,571.463,35.0,15.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",4533.39,-1.666666627,-3.666666746,"JP Morgan, Credit Suisse, Citi, RBC Capital Markets, HSBC",Common,4533.39
DOCU US,2018-03-28,2018-04-27,2018-03-28,2018-04-26,2018-04-27,DOCU US,DocuSign Inc,723.695,21.7,29.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Emerging Growth Company",4505.56,31.03448296,37.0,"Morgan Stanley, JP Morgan, Bank of America Merrill Lynch, Citi, Deutsche Bank",Common,4505.56
AXTA US,2014-08-20,2014-11-12,2014-08-20,2014-11-11,2014-11-12,AXTA US,Axalta Coating Systems Ltd,1121.25,50.0,19.5,"IPO,Secondary Share Offering,PE Backed,PE Exit",4466.85,7.384615421,6.410256386,"Morgan Stanley, Credit Suisse, Barclays, Bank of America Merrill Lynch, JP Morgan, Deutsche Bank, Citi, Goldman Sachs",Common,4466.85
FSL US,2011-02-11,2011-05-26,2011-02-11,2011-05-25,2011-05-26,FSL US,Freescale Semiconductor Ltd,883.206,43.5,18.0,"IPO,Primary Share Offering,PE Backed",4417.69,5.555555344,1.833333373,"JP Morgan, Credit Suisse, Barclays, Citi, Deutsche Bank",Common,4417.69
VVV US,2016-05-31,2016-09-23,2016-05-31,2016-09-22,2016-09-23,VVV US,Valvoline Inc,759.0,30.0,22.0,"IPO,Primary Share Offering,Accelerated Bookbuild",4400.0,9.545454979,5.0,"JP Morgan, Goldman Sachs, Deutsche Bank, Bank of America Merrill Lynch, Morgan Stanley, Citi",Common,4400.0
AM US,2017-03-28,2017-05-04,2017-03-28,2017-05-03,2017-05-04,AM US,Antero Midstream Corp,875.375,37.25,23.5,"IPO,Secondary Share Offering,Emerging Growth Company",4375.0,-5.744680882,-6.382978916,"JP Morgan, Barclays, Morgan Stanley",Common,4375.0
MR US,2014-05-02,2014-06-20,2014-05-02,2014-06-20,2014-06-20,MR US,Montage Resources Corp,818.1,30.3,27.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",4320.0,0.0,-4.629629612,"RBC Capital Markets, KeyBanc Capital Markets, Deutsche Bank, BMO Capital Markets, Barclays, Citi, Morgan Stanley, Goldman Sachs",Common,4320.0
LNKD US,2011-01-27,2011-05-19,2011-01-27,2011-05-18,2011-05-19,LNKD US,LinkedIn Corp,405.72,7.84,45.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",4305.36,84.44444275,109.4444427,"Morgan Stanley, Bank of America Merrill Lynch, JP Morgan",Class A,4305.36
INFO US,2014-05-05,2014-06-19,2014-05-05,2014-06-18,2014-06-19,INFO US,IHS Markit Ltd,1475.84,53.4724,24.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",4292.83,8.958333015,11.25,"NatWest Markets, Bank of America Merrill Lynch, Barclays, BNP Paribas, Citi, Credit Suisse, Deutsche Bank, Goldman Sachs, HSBC, JP Morgan, Morgan Stanley, UBS, Jefferies, RBC Capital Markets, TD Securities",Common,4292.83
SABR US,2014-01-21,2014-04-17,2014-01-21,2014-04-16,2014-04-17,SABR US,Sabre Corp,721.28,39.2,16.0,"IPO,Primary Share Offering,PE Backed",4232.88,4.9375,3.125,"Deutsche Bank, Bank of America Merrill Lynch, Morgan Stanley, Goldman Sachs",Common,4232.88
ALSN US,2011-03-18,2012-03-15,2011-03-18,2012-03-14,2012-03-15,ALSN US,Allison Transmission Holdings,690.345,26.1,23.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",4171.65,0.0,1.739130378,"Goldman Sachs, Morgan Stanley, Credit Suisse, Bank of America Merrill Lynch, JP Morgan, Citi",Common,4171.65
TRU US,2015-03-31,2015-06-25,2015-03-31,2015-06-24,2015-06-25,TRU US,TransUnion,764.489,29.5455,22.5,"IPO,Primary Share Offering,PE Backed",4099.95,9.422222137,12.88888931,"Bank of America Merrill Lynch, JP Morgan, Goldman Sachs, Deutsche Bank, RBC Capital Markets, Wells Fargo, Credit Suisse",Common,4099.95
1469138D US,2013-06-13,2013-08-14,2013-06-13,2013-08-13,2013-08-14,1469138D US,Envision Healthcare Holdings I,1110.9,42.0,23.0,"IPO,Primary Share Offering,PE Backed",4003.91,9.782608986,9.347826004,"UBS, RBC Capital Markets, Morgan Stanley, Deutsche Bank, Credit Suisse, Citi, Goldman Sachs, Barclays, Bank of America Merrill Lynch",Common,4003.91
BUFF US,2015-06-10,2015-07-22,2015-06-10,2015-07-21,2015-07-22,BUFF US,Blue Buffalo Pet Products Inc,778.126,33.8316,20.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",3920.68,35.0,36.0,"Citi, JP Morgan, Barclays, Deutsche Bank, Morgan Stanley",Common,3920.68
GDI US,2017-02-28,2017-05-12,2017-02-28,2017-05-11,2017-05-12,GDI US,Gardner Denver Holdings Inc,949.9,41.3,20.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",3918.54,6.25,5.5,"Kohlberg Kravis Roberts & Co, Robert W Baird & Co, Morgan Stanley, Credit Suisse, Deutsche Bank, Simmons & Co International, UBS, Citi, Goldman Sachs",Common,3918.54
PPDF US,2017-10-13,2017-11-10,2017-10-13,2017-11-10,2017-11-10,PPDF US,PPDAI Group Inc,221.0,17.0,13.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",3907.99,2.307692289,0.6153846383,"Credit Suisse, Citi, Stifel",ADR,3907.99
INOV US,2014-12-30,2015-02-12,2014-12-30,2015-02-11,2015-02-12,INOV US,Inovalon Holdings Inc,684.85,22.2222,27.0,"IPO,Primary Share Offering,Emerging Growth Company",3900.96,22.81481552,0.0,"Goldman Sachs, Citi, Morgan Stanley, Bank of America Merrill Lynch, UBS",Class A,3900.96
NCLH US,2011-07-15,2013-01-18,2011-07-15,2013-01-17,2013-01-18,NCLH US,Norwegian Cruise Line Holdings,514.117,23.5294,19.0,"IPO,Primary Share Offering,PE Backed",3875.94,32.10526276,30.47368431,"JP Morgan, Goldman Sachs, Deutsche Bank, Citi, UBS, Barclays",Common,3875.94
PVTL US,2018-03-23,2018-04-20,2018-03-23,2018-04-20,2018-04-20,PVTL US,Pivotal Software Inc,638.25,37.0,15.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,Emerging Growth Company",3838.3,11.66666698,4.866666794,"Wells Fargo, UBS, RBC Capital Markets, Credit Suisse, Barclays, Bank of America Merrill Lynch, Citi, Goldman Sachs, Morgan Stanley",Class A,3838.3
CPRI US,2011-12-02,2011-12-15,2011-12-02,2011-12-14,2011-12-15,CPRI US,Capri Holdings Ltd,1085.6,47.2,20.0,"IPO,Secondary Share Offering",3815.86,25.0,21.0,"Goldman Sachs, JP Morgan, Morgan Stanley",Common,3815.86
