,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
EVK GR,2018-09-24,2018-09-25,2018-09-24,2018-09-25,EVK GR,Evonik Industries AG,588.278,16.314,30.65,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",16803.8,1.957586884,2.610115528,"Deutsche Bank, Goldman Sachs, UBS",Stocks,16803.8,18.910938092424562,"Deutsche Bank, Goldman Sachs, UBS"
INTER NA,2018-09-24,2018-09-25,2018-09-24,2018-09-25,INTER NA,Intertrust NV,141.774,7.7,15.65,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Block",1695.06,2.364219666,1.725242138,"ABN Amro Bank NV, Deutsche Bank",Stocks,1695.06,1.4859068940592806,"ABN Amro Bank NV, Deutsche Bank"
BDRILL NO,2018-09-19,2018-09-20,2018-09-19,2018-09-20,BDRILL NO,Borr Drilling Ltd,74.2917,17.0714,35.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",2318.15,5.915493011,6.478873253,Pareto Securities,Stocks,2318.15,3.4767288487884773,Pareto Securities
SUN SW,2018-09-18,2018-09-19,2018-09-18,2018-09-19,SUN SW,Sulzer AG,580.612,5.0,112.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,3.660714388,6.25,"Credit Suisse, UBS",Stocks,4323.2042,3.9161449503044965,"Credit Suisse, UBS"
ADYEN NA,2018-09-12,2018-09-13,2018-09-12,2018-09-13,ADYEN NA,Adyen NV,1918.8,2.4627,670.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,-3.313432932,-8.208954811,"JP Morgan, Morgan Stanley",Stocks,25277.5353,11.690289324037366,"JP Morgan, Morgan Stanley"
TKWY NA,2018-09-12,2018-09-12,2018-09-12,2018-09-12,TKWY NA,Takeaway.com NV,182.808,2.4,65.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3291.54,0.3053435087,-1.679389358,Morgan Stanley,Stocks,3291.54,3.032415259587878,Morgan Stanley
HOFI SS,2018-09-11,2018-09-14,2018-09-11,2018-09-14,HOFI SS,Hoist Finance AB,62.7361,8.1185,70.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",696.234,13.0,13.428571699999999,"Deutsche Bank, Nordea Bank Abp",Stocks,696.234,1.5143644745675162,"Deutsche Bank, Nordea Bank Abp"
PLUS LN,2018-09-07,2018-09-07,2018-09-07,2018-09-07,PLUS LN,Plus500 Ltd,226.466,11.375,1540.0,"ADDL,Secondary Share Offering",2267.82,-3.051948071,-2.727272749,Credit Suisse,Stocks,2267.82,32.28117699966505,Credit Suisse
PLUS LN,2018-09-06,2018-09-06,2018-09-06,2018-09-06,PLUS LN,Plus500 Ltd,188.262,9.39,1550.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2283.76,3.741935492,-3.870967627,Liberum Capital Ltd,Stocks,2283.76,27.43277835439468,Liberum Capital Ltd
SRS IM,2018-09-05,2018-09-06,2018-09-05,2018-09-06,SRS IM,Saras SpA,221.031,95.1,2.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2211.08,-6.300000191,-6.5,Bank of America Merrill Lynch,Stocks,2211.08,5.574513254074352,Bank of America Merrill Lynch
CCFS LN,2018-09-05,2018-09-06,2018-09-05,2018-09-06,CCFS LN,Charter Court Financial Servic,65.8053,15.0,340.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,REG S",0.0,4.0,0.6470588446,Barclays,Stocks,1113.8654,1.1701439314837123,Barclays
