,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
1657599D SS,2011-02-03,2011-02-04,2011-02-03,2011-02-04,1657599D SS,Nordea Bank AB,2939.11,200.0,74.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,0.2013422847,0.5369127393,"Morgan Stanley, Nomura, SEB",Stocks,49033.1156,85.01538673762411,"Morgan Stanley, Nomura, SEB"
ACS SM,2011-02-02,2011-02-03,2011-02-02,2011-02-03,ACS SM,ACS Actividades de Construccio,737.879,15.74,34.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,0.220588237,2.764705896,"Bank of America Merrill Lynch, Citi",Stocks,16202.4855,34.92345409976528,"Bank of America Merrill Lynch, Citi"
EDP PL,2011-02-02,2011-02-02,2011-02-02,2011-02-02,EDP PL,EDP - Energias de Portugal SA,170.337,43.5001,2.84,"ADDL,Secondary Share Offering,Block",0.0,1.021129847,3.022207466e-06,Credit Suisse,Stocks,14464.4481,11.637945235850419,Credit Suisse
SAB SM,2011-01-31,2011-02-01,2011-01-31,2011-02-01,SAB SM,Banco de Sabadell SA,562.508,126.363,3.25,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,3.630769253,1.907692313,UBS,Stocks,6047.3984,33.77949256675662,UBS
DWNI GR,2011-01-27,2011-01-27,2011-01-27,2011-01-27,DWNI GR,Deutsche Wohnen SE,115.337,9.1,9.25,"ADDL,Secondary Share Offering",0.0,6.0,4.659459591,Bank of America Merrill Lynch,Stocks,1106.4827,2.494150356427062,Bank of America Merrill Lynch
ACTI SS,2011-01-26,2011-01-27,2011-01-26,2011-01-27,ACTI SS,Active Biotech AB,57.9312,2.5,150.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",1594.48,2.333333254,2.666666746,"Carnegie, Jefferies",Stocks,1594.48,2.112034643978614,"Carnegie, Jefferies"
ABE SM,2011-01-24,2011-01-25,2011-01-24,2011-01-25,ABE SM,Abertis Infraestructuras SA,99.1078,5.11613,14.2,"ADDL,Secondary Share Offering,Block",0.0,-0.1056324616,1.760564804,BNP Paribas,Stocks,14432.3211,42.179125651714244,BNP Paribas
PDL LN,2011-01-21,2011-01-26,2011-01-21,2011-01-26,PDL LN,Petra Diamonds Ltd,327.809,136.698,150.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",1178.8,20.0,19.83333397,,Stocks,1178.8,2.0677804151601977,
REP SM,2011-01-19,2011-01-19,2011-01-19,2011-01-19,REP SM,Repsol SA,604.233,61.3154,22.56,"ADDL,Secondary Share Offering,Block",0.0,-1.64006865,-0.4432600439,UBS,Stocks,36674.9564,426.76540083670835,UBS
MGGT LN,2011-01-18,2011-01-18,2011-01-18,2011-01-18,MGGT LN,Meggitt PLC,399.929,69.8,359.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",4399.66,2.757660151,-0.5849581957,Bank of America Merrill Lynch,Stocks,4399.66,12.509307045649056,Bank of America Merrill Lynch
BNR GR,2011-01-18,2011-01-19,2011-01-18,2011-01-19,BNR GR,Brenntag AG,668.668,7.0,71.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,-1.496503472,-1.342657328,Goldman Sachs,Stocks,4993.1063,7.61999556771012,Goldman Sachs
ATL IM,2011-01-14,2011-01-14,2011-01-14,2011-01-14,ATL IM,Atlantia SpA,834.997,40.1,15.6,"ADDL,Secondary Share Offering,Accelerated Bookbuild",12500.0,6.730766773,5.833330631,Nomura,Stocks,12500.0,32.66306659344743,Nomura
CBK GR,2011-01-13,2011-01-13,2011-01-13,2011-01-13,CBK GR,Commerzbank AG,836.179,118.135,5.3,"ADDL,Primary Share Offering",0.0,4.094336033,5.094336033,"Citi, Credit Suisse, Goldman Sachs, UBS",Stocks,8732.5518,51.19406513806325,"Citi, Credit Suisse, Goldman Sachs, UBS"
PSM GR,2011-01-13,2011-01-13,2011-01-13,2011-01-13,PSM GR,ProSiebenSat.1 Media SE,258.553,8.0,24.2,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",0.0,-1.074383259,0.2066084146,Deutsche Bank,Stocks,6974.9012,14.057941459510047,Deutsche Bank
NDA GR,2011-01-13,2011-01-13,2011-01-13,2011-01-13,NDA GR,Aurubis AG,226.515,4.08697,41.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",2491.83,2.530120373,1.759036183,Barclays,Stocks,2491.83,12.163492921356607,Barclays
CHR DC,2011-01-13,2011-01-13,2011-01-13,2011-01-13,CHR DC,Chr Hansen Holding A/S,528.911,25.0,118.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,0.0,0.8474576473,"Credit Suisse, JP Morgan",Stocks,2912.8866,8.850290603286311,"Credit Suisse, JP Morgan"
ILD FP,2011-01-11,2011-01-11,2011-01-11,2011-01-11,ILD FP,Iliad SA,69.9029,0.7,77.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,1.883116841,1.298701286,Societe Generale,Stocks,5647.9671,8.846020123640956,Societe Generale
TOD IM,2010-12-15,2010-12-15,2010-12-15,2010-12-15,TOD IM,Tod's SpA,308.723,3.06,76.0,"ADDL,Secondary Share Offering",0.0,1.315789461,0.0,Mediobanca,Stocks,3108.9057,6.834567568079775,Mediobanca
MT NA,2010-12-14,2010-12-14,2010-12-14,2010-12-14,MT NA,ArcelorMittal,938.401,26.48,26.4227,"ADDL,Secondary Share Offering,Block",0.0,4.115018845,6.726409912,,Stocks,57324.7111,263.53773737884205,
KAH LN,2010-12-13,2010-12-16,2010-12-13,2010-12-16,KAH LN,Kalahari Minerals Ltd,66.3316,18.0,232.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",902.767,3.125,2.155172348,,Stocks,902.767,2.164077812453792,
CEY LN,2010-12-08,2010-12-09,2010-12-08,2010-12-09,CEY LN,Centamin PLC,194.328,73.7744,167.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2847.15,1.796407223,0.8982036114,Bank of America Merrill Lynch,Stocks,2847.15,12.582406689861832,Bank of America Merrill Lynch
OXUR BB,2010-12-02,2010-12-08,2010-12-02,2010-12-08,OXUR BB,Oxurion NV,73.8704,2.9445,19.0,"ADDL,Primary Share Offering",0.0,3.15789485,5.631578922,"Jefferies, KBC Group, Banque Degroof Petercam SA",Stocks,754.9428,1.6741056382340502,"Jefferies, KBC Group, Banque Degroof Petercam SA"
BLVN LN,2010-11-26,2010-12-01,2010-11-26,2010-12-01,BLVN LN,BowLeven PLC,112.313,22.0,327.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag",0.0,10.09174347,4.969419003,"Bank of America Merrill Lynch, NatWest Markets",Stocks,981.1928,9.773232094009304,"Bank of America Merrill Lynch, NatWest Markets"
TIK1V FH,2010-11-25,2010-11-25,2010-11-25,2010-11-25,TIK1V FH,Tikkurila Oyj,130.751,6.474,15.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,Government Exit",0.0,0.6622490883,0.9933749437,Danske Bank,Stocks,896.7217,1.2928174269868054,Danske Bank
VER AV,2010-11-24,2010-11-25,2010-11-24,2010-11-25,VER AV,Verbund AG,212.231,6.22453,25.5,"ADDL,Primary Share Offering,Rump Placement",0.0,-0.3921568692,-1.490196109,Morgan Stanley,Stocks,10570.2172,5.679485277265665,Morgan Stanley
HSV LN,2010-11-23,2010-11-23,2010-11-23,2010-11-23,HSV LN,HomeServe PLC,104.985,16.0,415.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2157.33,3.590361357,2.891566277,Barclays,Stocks,2157.33,3.868640008051361,Barclays
FPM LN,2010-11-19,2010-11-24,2010-11-19,2010-11-24,FPM LN,Faroe Petroleum PLC,99.3452,37.718,165.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",559.28,8.333333015,7.878787994,"Stifel, Panmure Gordon",Stocks,559.28,2.394739184975473,"Stifel, Panmure Gordon"
DNO NO,2010-11-17,2010-11-18,2010-11-17,2010-11-18,DNO NO,DNO ASA,59.6669,45.0,8.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,5.125,5.25,ABG Sundal Collier Asa,Stocks,1274.0133,5.695626959739582,ABG Sundal Collier Asa
PFV GR,2010-11-17,2010-11-18,2010-11-17,2010-11-18,PFV GR,Pfeiffer Vacuum Technology AG,100.139,0.897059,82.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,4.315151691,3.975757599,Commerzbank,Stocks,1011.1053,5.325463613884188,Commerzbank
IMG LN,2010-11-17,2010-11-17,2010-11-17,2010-11-17,IMG LN,Imagination Technologies Group,60.1854,12.209,310.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-0.2580645084,2.35483861,JP Morgan,Stocks,1183.9194,2.8485957192747686,JP Morgan
FGR FP,2010-11-16,2010-11-16,2010-11-16,2010-11-16,FGR FP,Eiffage SA,80.1875,1.67505,35.5,"ADDL,Secondary Share Offering,Block",0.0,-2.845070362,-1.704225302,Deutsche Bank,Stocks,4172.5287,2.7138479076339452,Deutsche Bank
SDA1V FH,2010-11-16,2010-11-16,2010-11-16,2010-11-16,SDA1V FH,Sponda Oyj,237.997,53.0,3.33,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,-0.3002980053,0.6006029248,Morgan Stanley,Stocks,1253.9404,2.0940762662459282,Morgan Stanley
PGS NO,2010-11-15,2010-11-16,2010-11-15,2010-11-16,PGS NO,PGS ASA,274.858,19.799,83.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2975.77,-5.240963936,-4.457831383,"ABG Sundal Collier Asa, SEB",Stocks,2975.77,51.59331753596663,"ABG Sundal Collier Asa, SEB"
AMI LN,2010-11-11,2010-11-18,2010-11-11,2010-11-18,AMI LN,African Minerals Ltd,308.085,45.0,425.0,"ADDL,Primary Share Offering,Sub Sector Flag",2174.23,-2.294117689,-0.2352941185,,Stocks,2174.23,7.263617135476209,
STAN LN,2010-11-08,2010-11-08,2010-11-08,2010-11-08,STAN LN,Standard Chartered PLC,79.2486,3.83624,1280.0,"ADDL,Primary Share Offering,Rump Placement",0.0,50.8203125,49.4921875,"Goldman Sachs, JP Morgan, Standard Bank of South Africa, UBS",Stocks,73187.8359,135.29527783059484,"Goldman Sachs, JP Morgan, Standard Bank of South Africa, UBS"
AMP IM,2010-11-03,2010-11-04,2010-11-03,2010-11-04,AMP IM,Amplifon SpA,101.689,19.8419,3.65,"ADDL,Primary Share Offering,Accelerated Bookbuild",1130.62,1.849312425,1.712326169,"Intesa Sanpaolo, BNP Paribas, Citi, UniCredit",Stocks,1130.62,4.04676891247354,"Intesa Sanpaolo, BNP Paribas, Citi, UniCredit"
ASSAB SS,2010-11-02,2010-11-02,2010-11-02,2010-11-02,ASSAB SS,Assa Abloy AB,188.819,7.27035,172.25,"ADDL,Secondary Share Offering,Block",0.0,1.654571891,0.8998548388,NatWest Markets,Stocks,9638.4235,31.077069876051713,NatWest Markets
STLN SW,2010-11-02,2010-11-02,2010-11-02,2010-11-02,STLN SW,Schmolz + Bickenbach AG,188.897,32.1551,5.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,30.26086998,49.56521606,"Commerzbank, Credit Suisse, NatWest Markets, WestLB AG",Stocks,523.2257,2.6232106387716727,"Commerzbank, Credit Suisse, NatWest Markets, WestLB AG"
EVN AV,2010-10-27,2010-11-02,2010-10-27,2010-11-02,EVN AV,EVN AG,102.328,6.75472,11.0,"ADDL,Primary Share Offering",5054.05,8.545454979,7.090909004,"Deutsche Bank, Raiffeisen Bank International Group",Stocks,5054.05,3.0667486886909954,"Deutsche Bank, Raiffeisen Bank International Group"
1583423D SW,2010-10-26,2010-11-05,2010-10-26,2010-11-05,1583423D SW,Gategroup Holding AG,126.152,2.12324,43.0,ADDL,1178.01,3.95348835,4.418604851,"Credit Suisse, Goldman Sachs",Stocks,1178.01,1.971413286069852,"Credit Suisse, Goldman Sachs"
SU FP,2010-10-22,2010-10-22,2010-10-22,2010-10-22,SU FP,Schneider Electric SE,350.321,2.45716,102.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,0.9765610099,-0.6347671151,"Credit Agricole CIB, Societe Generale",Stocks,38657.5904,163.00408480140078,"Credit Agricole CIB, Societe Generale"
1684417D LN,2010-10-22,2010-10-22,2010-10-22,2010-10-22,1684417D LN,Phoenix Group Holdings,51.9675,5.02,660.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,3.712121248,2.196969748,"Deutsche Bank, JP Morgan",Stocks,1386.8514,10.704569584410924,"Deutsche Bank, JP Morgan"
DWNI GR,2010-10-21,2010-10-21,2010-10-21,2010-10-21,DWNI GR,Deutsche Wohnen SE,106.939,9.3,8.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,1.818181872,3.806060553,Bank of America Merrill Lynch,Stocks,974.0723,1.631158763597764,Bank of America Merrill Lynch
UTDI GR,2010-10-20,2010-10-20,2010-10-20,2010-10-20,UTDI GR,United Internet AG,199.363,11.9,12.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",0.0,1.416666627,5.0,WestLB AG,Stocks,4171.5468,8.292168955532802,WestLB AG
EO FP,2010-10-19,2010-10-19,2010-10-19,2010-10-19,EO FP,Faurecia SE,360.314,14.3335,18.2,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,1.098896861,1.620874882,Societe Generale,Stocks,2977.8858,8.960281243830872,Societe Generale
RKH LN,2010-10-18,2010-10-19,2010-10-18,2010-10-19,RKH LN,Rockhopper Exploration PLC,328.655,65.5,315.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag",0.0,3.650793552,6.269841194,"Bank of America Merrill Lynch, Canaccord Genuity",Stocks,1032.7999,31.488664153596662,"Bank of America Merrill Lynch, Canaccord Genuity"
GKP LN,2010-10-17,2010-10-18,2010-10-17,2010-10-18,GKP LN,Gulf Keystone Petroleum Ltd,175.001,78.028,140.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",1691.62,13.39285755,11.071428300000001,,Stocks,1691.62,14.28256751368755,
SAF FP,2010-10-11,2010-10-12,2010-10-11,2010-10-12,SAF FP,Safran SA,431.604,15.3621,20.23,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",0.0,0.02471803129,0.3460230231,HSBC,Stocks,11928.0208,26.953348339734536,HSBC
AMS SM,2010-10-08,2010-10-08,2010-10-08,2010-10-08,AMS SM,Amadeus IT Group SA,858.62,45.7137,13.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,0.1851851791,0.0,"Goldman Sachs, JP Morgan, Morgan Stanley",Stocks,8391.1616,19.92799870731078,"Goldman Sachs, JP Morgan, Morgan Stanley"
KAZ LN,2010-10-07,2010-10-07,2010-10-07,2010-10-07,KAZ LN,KAZ Minerals PLC,209.29,9.34948,1410.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,-0.5673758984,-0.3546099365,Credit Suisse,Stocks,11896.4676,42.14979153615423,Credit Suisse
EDEN FP,2010-10-07,2010-10-07,2010-10-07,2010-10-07,EDEN FP,Edenred,315.613,15.4618,14.7,"ADDL,Secondary Share Offering",0.0,0.44217816,0.6462597847,"HSBC, Morgan Stanley, UBS",Stocks,4684.8277,7.862909930312307,"HSBC, Morgan Stanley, UBS"
VOLVB SS,2010-10-06,2010-10-07,2010-10-06,2010-10-07,VOLVB SS,Volvo AB,4198.77,302.916,93.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",0.0,-1.236559153,-0.9677419066,Goldman Sachs,Stocks,30388.2101,94.51327895152338,Goldman Sachs
ISAT LN,2010-10-05,2010-10-05,2010-10-05,2010-10-05,ISAT LN,Inmarsat PLC,651.105,65.0,630.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,1.190476179,2.222222328,"Credit Suisse, UBS",Stocks,4606.5748,11.051980876367065,"Credit Suisse, UBS"
ZIL2 GR,2010-10-05,2010-10-06,2010-10-05,2010-10-06,ZIL2 GR,ElringKlinger AG,171.258,5.76,21.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,3.720930338,3.511627913,"Deutsche Bank, Joh Berenberg Gossler & Co KG",Stocks,1830.0745,2.798036535285659,"Deutsche Bank, Joh Berenberg Gossler & Co KG"
KD8 GR,2010-09-30,2010-09-30,2010-09-30,2010-09-30,KD8 GR,Kabel Deutschland Holding AG,561.825,15.0,27.5,"ADDL,Secondary Share Offering,Block",0.0,5.872727394,4.981818199,Deutsche Bank,Stocks,3562.1748,4.0174276500329205,Deutsche Bank
BNR GR,2010-09-30,2010-10-01,2010-09-30,2010-10-01,BNR GR,Brenntag AG,910.156,11.0,60.75,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild",0.0,1.497942328,2.106995821,Deutsche Bank,Stocks,4188.2385,3.3705898555116898,Deutsche Bank
SKYD GR,2010-09-28,2010-09-28,2010-09-28,2010-09-28,SKYD GR,Sky Deutschland AG,150.304,105.433,1.05,"ADDL,Primary Share Offering,Rump Placement",0.0,-1.142852664,-2.095233679,"NatWest Markets, UniCredit",Stocks,761.301,3.045559847806031,"NatWest Markets, UniCredit"
QCE GR,2010-09-27,2010-09-28,2010-09-27,2010-09-28,QCE GR,Global PVQ SE,84.0685,9.9,3.6,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,36.78060532,43.54955292,,Stocks,595.0514,5.064636340254155,
SPR GR,2010-09-23,2010-09-24,2010-09-23,2010-09-24,SPR GR,Axel Springer SE,673.577,5.4818,92.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,2.554347754,5.108695507,Deutsche Bank,Stocks,4061.2337,2.8456206978649985,Deutsche Bank
IGG LN,2010-09-22,2010-09-22,2010-09-22,2010-09-22,IGG LN,IG Group Holdings PLC,65.9457,8.43187,500.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,-0.4799999893,-0.6600000262,Barclays,Stocks,2812.4301,9.201186144984698,Barclays
LR FP,2010-09-20,2010-09-21,2010-09-20,2010-09-21,LR FP,Legrand SA,741.986,23.7,23.95,"ADDL,Secondary Share Offering,Block",8274.2,1.878911138,1.252606392,"Deutsche Bank, Nomura",Stocks,8274.2,9.991822862524012,"Deutsche Bank, Nomura"
DC/ LN,2010-09-17,2010-09-17,2010-09-17,2010-09-17,DC/ LN,Dixons Carphone PLC,55.8098,15.0,238.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-3.361344576,1.260504246,Citi,Stocks,1709.4716,1.1793060622399585,Citi
DBK GR,2010-09-13,2010-10-06,2010-09-13,2010-10-06,DBK GR,Deutsche Bank AG,90.377,2.12946,33.0,"ADDL,Primary Share Offering",0.0,24.60606003,23.87878799,"Deutsche Bank, Banco Santander, Bank of America Merrill Lynch, Commerzbank, HSBC, ING Groep, Morgan Stanley, Societe Generale, UBS",Stocks,38618.8127,290.0331966200784,"Deutsche Bank, Banco Santander, Bank of America Merrill Lynch, Commerzbank, HSBC, ING Groep, Morgan Stanley, Societe Generale, UBS"
NTGY SM,2010-09-10,2010-09-10,2010-09-10,2010-09-10,NTGY SM,Naturgy Energy Group SA,687.159,46.1762,11.7,"ADDL,Secondary Share Offering,Block",0.0,0.6837623119,-0.04273341224,"Citi, Goldman Sachs",Stocks,13658.2591,22.824641755710083,"Citi, Goldman Sachs"
DUFN SW,2010-09-02,2010-09-02,2010-09-02,2010-09-02,DUFN SW,Dufry AG,269.4,2.93298,93.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,-0.215053767,-1.612903237,"Morgan Stanley, UBS",Stocks,2461.828,3.6951269366694857,"Morgan Stanley, UBS"
FLG LN,2010-08-09,2010-08-09,2010-08-09,2010-08-09,FLG LN,Friends Life Group Ltd,246.54,61.4262,252.0,"ADDL,Primary Share Offering,Rump Placement,Accelerated Bookbuild",0.0,1.03174603,-0.6746031642,"Barclays, RBC Capital Markets",Stocks,5927.4186,22.381204589684806,"Barclays, RBC Capital Markets"
INVP LN,2010-08-03,2010-08-06,2010-08-03,2010-08-06,INVP LN,Investec PLC,166.469,22.0,475.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,1.010526299,1.452631593,Bank of America Merrill Lynch,Stocks,6011.6753,14.492372206766321,Bank of America Merrill Lynch
IHG LN,2010-07-27,2010-07-27,2010-07-27,2010-07-27,IHG LN,InterContinental Hotels Group,521.617,29.9217,1120.0,"ADDL,Secondary Share Offering",5033.22,-0.3571428657,-1.071428537,Barclays,Stocks,5033.22,10.500915401072264,Barclays
SMDS LN,2010-07-07,2010-07-07,2010-07-07,2010-07-07,SMDS LN,DS Smith PLC,71.6292,39.2963,120.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,7.5,9.166666985,JP Morgan,Stocks,767.7973,1.5075821205066484,JP Morgan
SCYR SM,2010-07-06,2010-07-07,2010-07-06,2010-07-07,SCYR SM,Sacyr SA,63.2086,12.1987,4.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,-1.292680621,-4.121949196,Goldman Sachs,Stocks,1703.9321,11.348473666325658,Goldman Sachs
IM NA,2010-06-23,2010-06-24,2010-06-23,2010-06-24,IM NA,Royal Imtech NV,226.997,8.32485,22.25,"ADDL,Primary Share Offering,Accelerated Bookbuild",2517.76,-0.2471910119,-1.730337024,"ABN Amro Bank NV, NatWest Markets",Stocks,2517.76,13.597433344371854,"ABN Amro Bank NV, NatWest Markets"
5AB GR,2010-06-17,2010-06-17,2010-06-17,2010-06-17,5AB GR,Asian Bamboo AG,91.884,2.4,31.0,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild",0.0,5.032258034,8.870967865,Credit Suisse,Stocks,569.6836,2.716520330270381,Credit Suisse
MCM LN,2010-06-16,2010-06-16,2010-06-16,2010-06-16,MCM LN,MC Mining Ltd,81.5485,50.0,110.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag",0.0,-2.272727251,2.727272749,JP Morgan,Stocks,765.8934,2.5208018378218435,JP Morgan
NG/ LN,2010-06-14,2010-06-14,2010-06-14,2010-06-14,NG/ LN,National Grid PLC,425.975,57.7905,500.0,"ADDL,Primary Share Offering,Rump Placement,Accelerated Bookbuild",0.0,0.6999999881,1.299999952,"Bank of America Merrill Lynch, Deutsche Bank, Morgan Stanley",Stocks,25910.4668,175.1773937823295,"Bank of America Merrill Lynch, Deutsche Bank, Morgan Stanley"
ARYN SW,2010-06-11,2010-06-11,2010-06-11,2010-06-11,ARYN SW,Aryzta AG,119.261,3.3123,41.5,ADDL,0.0,3.493975878,1.204819322,UBS,Stocks,2903.935,7.685179677267522,UBS
RKH LN,2010-06-08,2010-06-11,2010-06-08,2010-06-11,RKH LN,Rockhopper Exploration PLC,69.9652,17.32,280.0,"ADDL,Accelerated Bookbuild,Sub Sector Flag",0.0,6.875,1.607142806,Canaccord Genuity,Stocks,748.1086,25.645362508505972,Canaccord Genuity
BKIR ID,2010-06-08,2010-06-08,2010-06-08,2010-06-08,BKIR ID,Bank of Ireland,155.405,168.581,0.77,"ADDL,Primary Share Offering",0.0,-1.298698902,0.6493531466,"Citi, Credit Suisse, Davy, Deutsche Bank, UBS",Stocks,1701.215,18.840446228941317,"Citi, Credit Suisse, Davy, Deutsche Bank, UBS"
GKP LN,2010-05-24,2010-05-28,2010-05-24,2010-05-28,GKP LN,Gulf Keystone Petroleum Ltd,164.987,152.3,75.0,"ADDL,Primary Share Offering,Sub Sector Flag",727.075,-100.0,-100.0,"Mirabaud Securities, Renaissance Capital Pty Ltd",Stocks,727.075,3.4919136229186054,"Mirabaud Securities, Renaissance Capital Pty Ltd"
BVIC LN,2010-05-18,2010-05-18,2010-05-18,2010-05-18,BVIC LN,Britvic PLC,134.684,21.7,430.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,5.1860466,7.441860676,"Citi, Nomura",Stocks,1442.0367,4.797448359515546,"Citi, Nomura"
IGG LN,2010-05-11,2010-05-11,2010-05-11,2010-05-11,IGG LN,IG Group Holdings PLC,87.3088,15.0883,386.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2089.57,1.891191721,5.362694263,Barclays,Stocks,2089.57,6.0269511841353856,Barclays
LMI LN,2010-05-10,2010-05-10,2010-05-10,2010-05-10,LMI LN,Lonmin PLC,237.639,9.0642,1765.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,0.7365438938,-0.9631727934,"Citi, JP Morgan",Stocks,5352.2391,21.42036653127867,"Citi, JP Morgan"
PPHN SW,2010-05-05,2010-05-07,2010-05-05,2010-05-07,PPHN SW,Petroplus Holdings AG,136.202,8.65,17.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-0.8571428657,1.485714316,"Credit Suisse, Morgan Stanley",Stocks,1374.0279,23.222749183620646,"Credit Suisse, Morgan Stanley"
FENR LN,2010-04-28,2010-05-04,2010-04-28,2010-05-04,FENR LN,Fenner Group Holdings Ltd,55.1888,17.3022,210.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,0.2380952388,0.0,NatWest Markets,Stocks,557.4621,1.382453563207912,NatWest Markets
BKIR ID,2010-04-26,2010-05-20,2010-04-26,2010-05-20,BKIR ID,Bank of Ireland,667.0,326.797,1.53,"ADDL,Primary Share Offering",0.0,-48.36601257,-49.41176224,"Citi, Credit Suisse, Davy, Deutsche Bank, UBS",Stocks,3028.5103,9.744884977216875,"Citi, Credit Suisse, Davy, Deutsche Bank, UBS"
UNIT4 NA,2010-04-26,2010-04-27,2010-04-26,2010-04-27,UNIT4 NA,Unit4 NV,67.974,2.58,19.75,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-1.265822768,0.1012658253,"ING Groep, Rabobank",Stocks,710.8526,1.4520114193764178,"ING Groep, Rabobank"
NDX1 GR,2010-04-20,2010-04-20,2010-04-20,2010-04-20,NDX1 GR,Nordex SE,72.5627,6.35461,8.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,0.8823529482,0.9411764741,Barclays,Stocks,771.2885,7.667081584152949,Barclays
IDR SM,2010-04-14,2010-04-14,2010-04-14,2010-04-14,IDR SM,Indra Sistemas SA,173.797,8.20663,15.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,1.935483813,2.64516139,JP Morgan,Stocks,3595.9168,16.803894893907582,JP Morgan
HEI GR,2010-04-13,2010-04-13,2010-04-13,2010-04-13,HEI GR,HeidelbergCement AG,258.658,4.48065,42.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,1.870588183,4.964705944,"Commerzbank, UniCredit",Stocks,11014.9641,52.55656009143591,"Commerzbank, UniCredit"
SPSN SW,2010-04-09,2010-04-09,2010-04-09,2010-04-09,SPSN SW,Swiss Prime Site AG,104.378,1.7,65.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,0.4580152631,0.3816793859,"Credit Suisse, JP Morgan",Stocks,3353.4499,7.535733344201779,"Credit Suisse, JP Morgan"
ABE SM,2010-03-26,2010-03-26,2010-03-26,2010-03-26,ABE SM,Abertis Infraestructuras SA,225.136,11.8,14.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,2.38596487,1.22807014,Credit Suisse,Stocks,13706.9087,38.170591483686806,Credit Suisse
