,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
BLMN US,2014-11-10,2014-11-11,2014-11-10,2014-11-11,2014-11-11,BLMN US,Bloomin' Brands Inc,375.31,18.3078,20.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit",0.0,2.536585331,4.878048897,['Goldman Sachs'],2682.6064,31.982875554059316,20.997700000000002,21.35,-0.03981264637002346,0.024278048780487893,True,True,0.024278048780487893,0.023903417512051384,1,5000.0,121.39024390243947,119.51708756025693
LOCO US,2014-11-10,2014-11-20,2014-11-10,2014-11-20,2014-11-20,LOCO US,El Pollo Loco Holdings Inc,186.3,6.0,27.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1005.87,7.740740776,4.259259224,"['Morgan Stanley', 'Jefferies', 'Robert W Baird & Co', 'William Blair & Co LLC']",1005.87,51.37693433817778,28.3086,36.59,-0.26209346816069967,0.04846666666666666,True,True,0.04846666666666666,0.048883811617210116,1,3726.0000000000005,180.58679999999998,182.14108208572492
AMSG US,2014-11-10,2014-11-11,2014-11-10,2014-11-11,2014-11-11,AMSG US,Amsurg Corp,228.165,4.5092,50.6,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",2435.11,0.2173943222,-0.355728209,['Goldman Sachs'],2435.11,17.038670040733333,50.3244,51.84,-0.023919753086419804,-0.005446640316205564,True,True,-0.005446640316205564,-0.005821271584642074,1,3407.734008146667,-18.560701435676418,-19.837345149642633
BAH US,2014-11-05,2014-11-06,2014-11-05,2014-11-06,2014-11-06,BAH US,Booz Allen Hamilton Holding Co,252.5,10.0,25.25,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",3732.1,0.4356435537,1.940594077,['JP Morgan'],3732.1,16.126539258193922,25.2929,26.31,-0.04028886354998096,0.001699009900990145,True,True,0.001699009900990145,0.0010010532446433906,1,3225.307851638785,5.47982997367555,3.228704889856809
ATHM US,2014-11-05,2014-11-20,2014-11-05,2014-11-20,2014-11-20,ATHM US,Autohome Inc,361.25,8.5,42.5,"ADDL,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1580.07,0.8470588326,0.470588237,"['Goldman Sachs', 'Deutsche Bank']",1580.07,40.34295731284376,42.4157,44.08,-0.035843920145190555,-0.0019835294117647173,True,True,-0.0019835294117647173,-0.0015663844612212596,1,5000.0,-9.917647058823587,-7.831922306106298
WDC US,2014-11-05,2014-11-07,2014-11-05,2014-11-06,2014-11-07,WDC US,Western Digital Corp,600.0,5.4348,96.0,"ADDL,Secondary Share Offering",22294.1,2.03125,1.770833373,"['Goldman Sachs', 'Bank of America Merrill Lynch', 'JP Morgan', 'RBC Capital Markets']",22294.1,168.66649716353083,98.0039,101.28,-0.05213270142180093,0.020873958333333276,True,True,0.020873958333333276,0.02153125616370799,1,5000.0,104.36979166666637,107.65628081853995
NWE US,2014-11-03,2014-11-04,2014-11-03,2014-11-04,2014-11-04,NWE US,NorthWestern Corp,399.995,6.7669,51.5,"ADDL,Primary Share Offering",2415.99,1.203883529,5.53398037,"['Bank of America Merrill Lynch', 'Credit Suisse', 'JP Morgan']",2415.99,8.66230321561425,52.0832,52.56,-0.020167427701674345,0.011324271844660228,True,True,0.011324271844660228,0.014549035643764974,1,1732.46064312285,19.61885528289804,25.205631648214332
LQ US,2014-10-30,2014-11-20,2014-10-30,2014-11-19,2014-11-20,LQ US,La Quinta Holdings Inc,460.0,20.0,20.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",2614.46,0.150000006,4.050000191,"['Wells Fargo', 'Goldman Sachs', 'Citi', 'Bank of America Merrill Lynch', 'Credit Suisse', 'Deutsche Bank', 'JP Morgan', 'Morgan Stanley']",2614.46,13.616756297999997,20.4384,20.29,-0.01429275505174954,0.02192000000000016,True,True,0.02192000000000016,0.02233714495054362,1,2723.3512595999996,59.69585961043243,60.83189183693074
CMRX US,2014-10-29,2014-10-31,2014-10-29,2014-10-30,2014-10-31,CMRX US,Chimerix Inc,121.728,3.65,29.0,"ADDL,Primary Share Offering,Emerging Growth Company",1148.45,5.172413826,7.034482956,"['Morgan Stanley', 'JP Morgan']",1148.45,56.1759829654111,31.0305,29.79,-0.026518966096005347,0.07001724137931031,True,True,0.07001724137931031,0.06023097032072333,1,2434.5599999999995,170.46117517241368,146.63591110402015
TRUE US,2014-10-28,2014-11-12,2014-10-28,2014-11-12,2014-11-12,TRUE US,TrueCar Inc,125.171,6.4026,17.0,"ADDL,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Emerging Growth Company",1339.16,2.529411793,-0.6470588446,"['JP Morgan', 'Goldman Sachs', 'Morgan Stanley', 'RBC Capital Markets']",1339.16,23.531021192611103,17.262,17.26,-0.015063731170336103,0.015411764705882458,True,True,0.015411764705882458,0.017243829522970433,1,2503.4200000000005,38.58212000000027,43.16854770439465
